醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,117,1,0,2,否,2026-03-25 03:33:23
台大兒醫,0,0,0,0,否,2026-03-25 03:33:23
三總,53,1,0,7,否,2026-03-25 03:33:24
北榮,32,0,0,0,否,2026-03-25 03:33:24
台北國泰,18,0,0,2,否,2026-03-25 03:33:24
台北馬偕,37,3,0,1,否,2026-03-25 03:33:24
馬偕兒醫,-,-,-,-,否,2026-03-25 03:33:24
新光,28,2,0,0,否,2026-03-25 03:33:24
亞東,28,4,16,1,否,2026-03-25 03:33:24
台北慈濟,18,2,0,1,否,2026-03-25 03:33:24
淡水馬偕,14,2,0,4,否,2026-03-25 03:33:24
萬芳,36,3,0,1,否,2026-03-25 03:33:24
部立雙和,25,3,0,0,否,2026-03-25 03:33:24
臺大新竹,10,1,5,0,是,2026-03-25 03:33:24
林口長庚,107,6,0,1,否,2026-03-25 03:33:24
中榮,37,1,0,2,否,2026-03-25 03:33:24
彰基,21,2,0,1,否,2026-03-25 03:33:24
彰基兒醫,-,-,-,-,否,2026-03-25 03:33:24
中國兒醫,-,-,-,-,否,2026-03-25 03:33:24
中山附醫,16,2,0,0,否,2026-03-25 03:33:24
中國附醫,42,3,0,6,否,2026-03-25 03:33:24
成大,80,4,29,6,是,2026-03-25 03:33:24
永康奇美,53,4,0,0,否,2026-03-25 03:33:24
高雄榮總,54,5,1,2,是,2026-03-25 03:33:24
高雄長庚,59,2,0,0,否,2026-03-25 03:33:24
義大醫院,13,2,0,1,否,2026-03-25 03:33:24
高醫,70,3,9,3,是,2026-03-25 03:33:24
花蓮慈濟,41,0,0,0,是,2026-03-25 03:33:24
