醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,84,1,0,2,否,2026-04-08 08:52:19
台大兒醫,0,0,0,0,否,2026-04-08 08:52:19
三總,38,1,0,0,否,2026-04-08 08:52:19
北榮,27,7,0,0,否,2026-04-08 08:52:19
台北國泰,28,1,11,1,是,2026-04-08 08:52:19
台北馬偕,49,3,0,7,否,2026-04-08 08:52:19
馬偕兒醫,-,-,-,-,否,2026-04-08 08:52:19
新光,12,1,0,0,否,2026-04-08 08:52:19
亞東,34,4,21,3,否,2026-04-08 08:52:19
台北慈濟,30,2,0,1,否,2026-04-08 08:52:19
淡水馬偕,20,1,0,4,否,2026-04-08 08:52:19
萬芳,23,1,0,0,否,2026-04-08 08:52:20
部立雙和,35,1,0,1,否,2026-04-08 08:52:20
臺大新竹,17,1,5,0,是,2026-04-08 08:52:20
林口長庚,76,5,0,7,否,2026-04-08 08:52:20
中榮,8,1,0,2,否,2026-04-08 08:52:20
彰基,21,2,0,3,否,2026-04-08 08:52:20
彰基兒醫,-,-,-,-,否,2026-04-08 08:52:20
中國兒醫,-,-,-,-,否,2026-04-08 08:52:20
中山附醫,11,4,0,1,否,2026-04-08 08:52:20
中國附醫,10,3,0,6,否,2026-04-08 08:52:20
成大,51,2,4,1,否,2026-04-08 08:52:20
永康奇美,39,2,0,1,否,2026-04-08 08:52:20
高雄榮總,16,0,0,0,否,2026-04-08 08:52:20
高雄長庚,93,3,0,6,否,2026-04-08 08:52:20
義大醫院,7,0,0,0,否,2026-04-08 08:52:20
高醫,29,3,0,1,否,2026-04-08 08:52:20
花蓮慈濟,31,4,0,1,否,2026-04-08 08:52:20
