醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,93,4,6,2,是,2026-04-06 03:53:45
台大兒醫,0,0,0,0,否,2026-04-06 03:53:45
三總,10,1,0,2,否,2026-04-06 03:53:45
北榮,18,2,0,0,否,2026-04-06 03:53:45
台北國泰,14,1,0,2,否,2026-04-06 03:53:45
台北馬偕,25,6,0,3,否,2026-04-06 03:53:45
馬偕兒醫,-,-,-,-,否,2026-04-06 03:53:45
新光,4,1,0,0,否,2026-04-06 03:53:45
亞東,33,7,27,2,否,2026-04-06 03:53:45
台北慈濟,15,1,0,6,否,2026-04-06 03:53:45
淡水馬偕,25,1,0,4,否,2026-04-06 03:53:45
萬芳,22,3,0,0,否,2026-04-06 03:53:46
部立雙和,27,3,0,1,否,2026-04-06 03:53:46
臺大新竹,22,0,10,0,是,2026-04-06 03:53:46
林口長庚,86,5,0,5,否,2026-04-06 03:53:46
中榮,5,2,0,2,否,2026-04-06 03:53:46
彰基,22,2,0,1,否,2026-04-06 03:53:46
彰基兒醫,-,-,-,-,否,2026-04-06 03:53:46
中國兒醫,-,-,-,-,否,2026-04-06 03:53:46
中山附醫,12,1,0,1,否,2026-04-06 03:53:46
中國附醫,19,4,0,5,否,2026-04-06 03:53:46
成大,32,3,0,0,否,2026-04-06 03:53:46
永康奇美,39,6,0,2,否,2026-04-06 03:53:46
高雄榮總,22,1,0,0,否,2026-04-06 03:53:46
高雄長庚,60,1,0,5,否,2026-04-06 03:53:46
義大醫院,2,2,0,0,否,2026-04-06 03:53:46
高醫,51,2,0,1,否,2026-04-06 03:53:46
花蓮慈濟,17,0,0,1,否,2026-04-06 03:53:46
