醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,85,1,0,2,否,2026-04-21 09:17:22
台大兒醫,0,0,0,0,否,2026-04-21 09:17:22
三總,49,0,0,2,否,2026-04-21 09:17:22
北榮,17,1,0,3,否,2026-04-21 09:17:22
台北國泰,11,2,0,1,否,2026-04-21 09:17:22
台北馬偕,62,3,0,6,否,2026-04-21 09:17:22
馬偕兒醫,-,-,-,-,否,2026-04-21 09:17:22
新光,23,2,0,0,否,2026-04-21 09:17:22
亞東,27,5,20,0,否,2026-04-21 09:17:22
台北慈濟,21,2,0,1,否,2026-04-21 09:17:22
淡水馬偕,20,2,0,1,否,2026-04-21 09:17:22
萬芳,17,5,0,0,否,2026-04-21 09:17:22
部立雙和,39,2,0,0,否,2026-04-21 09:17:22
臺大新竹,15,2,0,1,否,2026-04-21 09:17:22
林口長庚,109,3,6,2,是,2026-04-21 09:17:22
中榮,23,0,0,4,否,2026-04-21 09:17:23
彰基,17,2,0,0,否,2026-04-21 09:17:23
彰基兒醫,-,-,-,-,否,2026-04-21 09:17:23
中國兒醫,-,-,-,-,否,2026-04-21 09:17:23
中山附醫,17,1,0,0,否,2026-04-21 09:17:23
中國附醫,27,4,0,5,否,2026-04-21 09:17:23
成大,35,2,19,3,是,2026-04-21 09:17:23
永康奇美,30,6,0,0,否,2026-04-21 09:17:23
高雄榮總,17,2,0,1,否,2026-04-21 09:17:23
高雄長庚,44,2,0,0,否,2026-04-21 09:17:23
義大醫院,27,1,0,0,否,2026-04-21 09:17:23
高醫,62,4,13,4,是,2026-04-21 09:17:23
花蓮慈濟,36,3,0,0,否,2026-04-21 09:17:23
