醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,84,4,0,1,否,2026-03-27 03:45:53
台大兒醫,0,0,0,0,否,2026-03-27 03:45:53
三總,52,1,0,2,否,2026-03-27 03:45:53
北榮,35,3,0,1,否,2026-03-27 03:45:53
台北國泰,21,0,5,1,否,2026-03-27 03:45:53
台北馬偕,46,1,0,0,否,2026-03-27 03:45:53
馬偕兒醫,-,-,-,-,否,2026-03-27 03:45:53
新光,31,1,0,0,是,2026-03-27 03:45:53
亞東,26,2,9,4,否,2026-03-27 03:45:53
台北慈濟,6,1,0,1,否,2026-03-27 03:45:53
淡水馬偕,15,0,0,3,否,2026-03-27 03:45:53
萬芳,24,2,0,1,否,2026-03-27 03:45:53
部立雙和,12,1,0,0,否,2026-03-27 03:45:53
臺大新竹,36,1,10,2,是,2026-03-27 03:45:53
林口長庚,92,0,0,5,否,2026-03-27 03:45:53
中榮,36,1,0,8,否,2026-03-27 03:45:54
彰基,22,2,0,1,否,2026-03-27 03:45:54
彰基兒醫,-,-,-,-,否,2026-03-27 03:45:54
中國兒醫,-,-,-,-,否,2026-03-27 03:45:54
中山附醫,29,2,0,0,否,2026-03-27 03:45:54
中國附醫,28,6,0,1,否,2026-03-27 03:45:54
成大,71,2,27,2,是,2026-03-27 03:45:54
永康奇美,40,1,0,2,否,2026-03-27 03:45:54
高雄榮總,37,1,0,0,否,2026-03-27 03:45:54
高雄長庚,66,2,0,2,是,2026-03-27 03:45:54
義大醫院,7,2,0,1,否,2026-03-27 03:45:54
高醫,51,3,8,0,是,2026-03-27 03:45:54
花蓮慈濟,31,3,0,0,是,2026-03-27 03:45:54
