醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,77,2,5,0,是,2026-04-11 08:31:32
台大兒醫,0,0,0,0,否,2026-04-11 08:31:32
三總,29,1,0,5,否,2026-04-11 08:31:32
北榮,9,2,0,2,否,2026-04-11 08:31:32
台北國泰,28,1,9,3,是,2026-04-11 08:31:32
台北馬偕,43,3,0,1,否,2026-04-11 08:31:32
馬偕兒醫,-,-,-,-,否,2026-04-11 08:31:32
新光,7,0,0,0,否,2026-04-11 08:31:32
亞東,23,7,16,0,否,2026-04-11 08:31:32
台北慈濟,15,2,0,1,否,2026-04-11 08:31:32
淡水馬偕,6,3,0,0,否,2026-04-11 08:31:32
萬芳,15,7,0,1,否,2026-04-11 08:31:32
部立雙和,29,1,0,0,否,2026-04-11 08:31:33
臺大新竹,14,1,0,0,否,2026-04-11 08:31:33
林口長庚,94,8,0,2,否,2026-04-11 08:31:33
中榮,7,0,0,3,否,2026-04-11 08:31:33
彰基,2,1,0,6,否,2026-04-11 08:31:33
彰基兒醫,-,-,-,-,否,2026-04-11 08:31:33
中國兒醫,-,-,-,-,否,2026-04-11 08:31:33
中山附醫,1,2,0,0,否,2026-04-11 08:31:33
中國附醫,12,4,0,4,否,2026-04-11 08:31:33
成大,49,4,12,1,否,2026-04-11 08:31:33
永康奇美,29,0,0,0,否,2026-04-11 08:31:33
高雄榮總,22,2,0,1,否,2026-04-11 08:31:33
高雄長庚,38,2,0,2,否,2026-04-11 08:31:33
義大醫院,3,2,0,0,否,2026-04-11 08:31:33
高醫,27,2,0,2,否,2026-04-11 08:31:33
花蓮慈濟,25,1,0,0,否,2026-04-11 08:31:33
