醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,82,1,0,1,否,2026-03-26 08:43:29
台大兒醫,0,0,0,0,否,2026-03-26 08:43:29
三總,45,2,0,5,否,2026-03-26 08:43:30
北榮,22,3,0,3,否,2026-03-26 08:43:30
台北國泰,21,1,5,2,否,2026-03-26 08:43:30
台北馬偕,50,4,0,3,否,2026-03-26 08:43:30
馬偕兒醫,-,-,-,-,否,2026-03-26 08:43:30
新光,27,0,0,0,是,2026-03-26 08:43:30
亞東,23,4,14,0,否,2026-03-26 08:43:30
台北慈濟,10,0,0,0,否,2026-03-26 08:43:30
淡水馬偕,19,0,0,6,否,2026-03-26 08:43:30
萬芳,22,1,0,1,否,2026-03-26 08:43:30
部立雙和,26,2,0,0,否,2026-03-26 08:43:30
臺大新竹,30,3,10,0,是,2026-03-26 08:43:30
林口長庚,95,4,10,7,否,2026-03-26 08:43:30
中榮,23,0,0,4,否,2026-03-26 08:43:30
彰基,22,5,0,3,否,2026-03-26 08:43:30
彰基兒醫,-,-,-,-,否,2026-03-26 08:43:30
中國兒醫,-,-,-,-,否,2026-03-26 08:43:30
中山附醫,18,3,0,0,否,2026-03-26 08:43:30
中國附醫,15,4,0,2,否,2026-03-26 08:43:30
成大,59,5,28,3,是,2026-03-26 08:43:30
永康奇美,35,2,0,0,否,2026-03-26 08:43:30
高雄榮總,34,0,0,2,否,2026-03-26 08:43:30
高雄長庚,69,1,0,0,否,2026-03-26 08:43:30
義大醫院,9,2,0,1,否,2026-03-26 08:43:30
高醫,60,2,0,4,是,2026-03-26 08:43:30
花蓮慈濟,29,0,0,0,是,2026-03-26 08:43:30
