醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,78,1,0,2,否,2026-03-14 08:23:35
台大兒醫,0,0,0,0,否,2026-03-14 08:23:35
三總,14,1,0,5,否,2026-03-14 08:23:35
北榮,9,2,0,2,否,2026-03-14 08:23:35
台北國泰,14,0,0,4,否,2026-03-14 08:23:35
台北馬偕,19,0,0,0,否,2026-03-14 08:23:35
馬偕兒醫,-,-,-,-,否,2026-03-14 08:23:35
新光,2,1,0,0,否,2026-03-14 08:23:35
亞東,6,3,15,0,否,2026-03-14 08:23:35
台北慈濟,24,6,0,3,否,2026-03-14 08:23:35
淡水馬偕,8,0,0,1,否,2026-03-14 08:23:35
萬芳,7,4,0,0,否,2026-03-14 08:23:35
部立雙和,14,1,0,0,否,2026-03-14 08:23:35
臺大新竹,14,0,0,1,否,2026-03-14 08:23:35
林口長庚,94,4,0,0,否,2026-03-14 08:23:35
中榮,4,0,0,2,否,2026-03-14 08:23:35
彰基,0,2,0,4,否,2026-03-14 08:23:35
彰基兒醫,-,-,-,-,否,2026-03-14 08:23:35
中國兒醫,-,-,-,-,否,2026-03-14 08:23:35
中山附醫,6,1,0,0,否,2026-03-14 08:23:35
中國附醫,8,9,0,4,否,2026-03-14 08:23:35
成大,38,2,0,4,否,2026-03-14 08:23:35
永康奇美,18,8,0,2,否,2026-03-14 08:23:35
高雄榮總,9,1,0,0,否,2026-03-14 08:23:35
高雄長庚,27,2,0,1,否,2026-03-14 08:23:35
義大醫院,4,0,0,0,否,2026-03-14 08:23:36
高醫,23,0,0,3,否,2026-03-14 08:23:36
花蓮慈濟,13,0,0,0,否,2026-03-14 08:23:36
