醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,100,0,0,1,是,2026-03-10 08:30:55
台大兒醫,0,0,0,0,否,2026-03-10 08:30:55
三總,39,1,0,6,否,2026-03-10 08:30:55
北榮,21,1,0,1,否,2026-03-10 08:30:56
台北國泰,20,2,1,2,否,2026-03-10 08:30:56
台北馬偕,28,0,0,3,否,2026-03-10 08:30:56
馬偕兒醫,-,-,-,-,否,2026-03-10 08:30:56
新光,13,1,0,0,否,2026-03-10 08:30:56
亞東,25,2,13,0,否,2026-03-10 08:30:56
台北慈濟,22,0,0,2,否,2026-03-10 08:30:56
淡水馬偕,10,2,0,4,否,2026-03-10 08:30:56
萬芳,22,2,0,5,否,2026-03-10 08:30:56
部立雙和,26,0,0,0,否,2026-03-10 08:30:56
臺大新竹,32,0,10,2,是,2026-03-10 08:30:56
林口長庚,88,3,0,12,是,2026-03-10 08:30:56
中榮,16,4,0,0,否,2026-03-10 08:30:56
彰基,4,1,0,0,否,2026-03-10 08:30:56
彰基兒醫,-,-,-,-,否,2026-03-10 08:30:56
中國兒醫,-,-,-,-,否,2026-03-10 08:30:56
中山附醫,19,2,0,1,否,2026-03-10 08:30:56
中國附醫,18,9,0,3,否,2026-03-10 08:30:56
成大,44,7,16,3,是,2026-03-10 08:30:56
永康奇美,42,4,0,1,否,2026-03-10 08:30:56
高雄榮總,20,1,0,4,否,2026-03-10 08:30:56
高雄長庚,80,1,0,1,是,2026-03-10 08:30:56
義大醫院,10,0,0,0,否,2026-03-10 08:30:56
高醫,45,0,0,5,否,2026-03-10 08:30:56
花蓮慈濟,20,1,0,0,否,2026-03-10 08:30:57
