醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,86,1,0,0,否,2026-03-23 08:43:57
台大兒醫,0,0,0,0,否,2026-03-23 08:43:57
三總,38,0,0,1,否,2026-03-23 08:43:57
北榮,24,4,0,2,否,2026-03-23 08:43:57
台北國泰,20,1,11,7,是,2026-03-23 08:43:57
台北馬偕,31,2,0,3,否,2026-03-23 08:43:57
馬偕兒醫,-,-,-,-,否,2026-03-23 08:43:57
新光,27,2,0,0,是,2026-03-23 08:43:57
亞東,35,4,24,1,否,2026-03-23 08:43:57
台北慈濟,14,0,0,1,否,2026-03-23 08:43:57
淡水馬偕,14,1,0,2,否,2026-03-23 08:43:57
萬芳,19,3,0,0,否,2026-03-23 08:43:57
部立雙和,28,2,0,0,否,2026-03-23 08:43:57
臺大新竹,9,0,0,1,否,2026-03-23 08:43:57
林口長庚,78,2,0,8,否,2026-03-23 08:43:57
中榮,19,0,0,1,否,2026-03-23 08:43:57
彰基,13,4,0,1,否,2026-03-23 08:43:57
彰基兒醫,-,-,-,-,否,2026-03-23 08:43:57
中國兒醫,-,-,-,-,否,2026-03-23 08:43:57
中山附醫,5,1,0,0,否,2026-03-23 08:43:57
中國附醫,26,5,0,6,否,2026-03-23 08:43:57
成大,53,7,9,4,是,2026-03-23 08:43:58
永康奇美,44,17,0,2,否,2026-03-23 08:43:58
高雄榮總,37,4,0,0,否,2026-03-23 08:43:58
高雄長庚,50,4,0,7,否,2026-03-23 08:43:58
義大醫院,14,1,0,2,否,2026-03-23 08:43:58
高醫,71,2,16,4,否,2026-03-23 08:43:58
花蓮慈濟,37,0,0,0,是,2026-03-23 08:43:58
