醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,75,3,0,2,否,2026-04-17 03:59:39
台大兒醫,0,0,0,0,否,2026-04-17 03:59:39
三總,50,3,0,3,否,2026-04-17 03:59:39
北榮,43,3,0,0,否,2026-04-17 03:59:39
台北國泰,24,0,0,2,否,2026-04-17 03:59:39
台北馬偕,51,8,0,0,否,2026-04-17 03:59:39
馬偕兒醫,-,-,-,-,否,2026-04-17 03:59:39
新光,31,2,0,0,是,2026-04-17 03:59:39
亞東,34,4,23,2,否,2026-04-17 03:59:39
台北慈濟,17,1,0,1,否,2026-04-17 03:59:39
淡水馬偕,10,3,0,1,否,2026-04-17 03:59:39
萬芳,20,2,0,2,否,2026-04-17 03:59:39
部立雙和,37,2,0,0,否,2026-04-17 03:59:39
臺大新竹,14,1,5,0,是,2026-04-17 03:59:39
林口長庚,106,2,18,3,是,2026-04-17 03:59:39
中榮,23,1,0,3,否,2026-04-17 03:59:39
彰基,21,5,0,0,否,2026-04-17 03:59:39
彰基兒醫,-,-,-,-,否,2026-04-17 03:59:39
中國兒醫,-,-,-,-,否,2026-04-17 03:59:39
中山附醫,24,1,0,1,否,2026-04-17 03:59:39
中國附醫,21,3,0,4,否,2026-04-17 03:59:39
成大,50,2,0,0,否,2026-04-17 03:59:39
永康奇美,32,3,0,2,否,2026-04-17 03:59:39
高雄榮總,36,3,0,1,否,2026-04-17 03:59:40
高雄長庚,37,4,0,3,否,2026-04-17 03:59:40
義大醫院,21,1,0,2,否,2026-04-17 03:59:40
高醫,51,3,2,1,否,2026-04-17 03:59:40
花蓮慈濟,25,1,0,0,否,2026-04-17 03:59:40
