醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,105,0,0,2,否,2026-03-01 08:19:57
台大兒醫,0,0,0,0,否,2026-03-01 08:19:57
三總,10,2,0,4,否,2026-03-01 08:19:57
北榮,16,0,0,1,否,2026-03-01 08:19:57
台北國泰,12,1,0,0,否,2026-03-01 08:19:57
台北馬偕,21,3,0,0,否,2026-03-01 08:19:57
馬偕兒醫,-,-,-,-,否,2026-03-01 08:19:57
新光,5,1,0,0,否,2026-03-01 08:19:57
亞東,26,5,24,0,是,2026-03-01 08:19:58
台北慈濟,6,3,0,1,否,2026-03-01 08:19:58
淡水馬偕,17,1,0,3,否,2026-03-01 08:19:58
萬芳,17,2,0,3,否,2026-03-01 08:19:58
部立雙和,2,5,0,0,否,2026-03-01 08:19:58
臺大新竹,12,3,0,0,否,2026-03-01 08:19:58
林口長庚,86,2,0,15,否,2026-03-01 08:19:58
中榮,3,1,0,1,否,2026-03-01 08:19:58
彰基,14,5,0,1,否,2026-03-01 08:19:58
彰基兒醫,-,-,-,-,否,2026-03-01 08:19:58
中國兒醫,-,-,-,-,否,2026-03-01 08:19:58
中山附醫,8,3,0,0,否,2026-03-01 08:19:58
中國附醫,10,11,0,1,否,2026-03-01 08:19:58
成大,64,5,20,4,是,2026-03-01 08:19:58
永康奇美,28,10,0,2,否,2026-03-01 08:19:58
高雄榮總,24,1,0,6,否,2026-03-01 08:19:58
高雄長庚,71,3,0,7,否,2026-03-01 08:19:58
義大醫院,9,0,0,0,否,2026-03-01 08:19:58
高醫,30,4,0,0,否,2026-03-01 08:19:58
花蓮慈濟,21,1,0,0,否,2026-03-01 08:19:58
