醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,68,3,0,0,否,2026-04-10 08:59:43
台大兒醫,0,0,0,0,否,2026-04-10 08:59:43
三總,41,0,0,0,否,2026-04-10 08:59:43
北榮,12,2,0,1,否,2026-04-10 08:59:43
台北國泰,23,2,4,1,否,2026-04-10 08:59:43
台北馬偕,40,0,0,2,否,2026-04-10 08:59:43
馬偕兒醫,-,-,-,-,否,2026-04-10 08:59:43
新光,13,2,0,0,否,2026-04-10 08:59:43
亞東,29,4,13,1,否,2026-04-10 08:59:43
台北慈濟,26,1,0,0,否,2026-04-10 08:59:43
淡水馬偕,12,1,0,4,否,2026-04-10 08:59:43
萬芳,18,5,0,4,否,2026-04-10 08:59:44
部立雙和,26,2,0,0,否,2026-04-10 08:59:44
臺大新竹,8,3,0,0,否,2026-04-10 08:59:44
林口長庚,68,7,0,4,否,2026-04-10 08:59:44
中榮,22,1,0,5,否,2026-04-10 08:59:44
彰基,13,3,0,1,否,2026-04-10 08:59:44
彰基兒醫,-,-,-,-,否,2026-04-10 08:59:44
中國兒醫,-,-,-,-,否,2026-04-10 08:59:44
中山附醫,10,4,0,1,否,2026-04-10 08:59:44
中國附醫,18,3,0,5,否,2026-04-10 08:59:44
成大,49,1,6,1,否,2026-04-10 08:59:44
永康奇美,39,7,0,1,否,2026-04-10 08:59:44
高雄榮總,17,1,0,1,否,2026-04-10 08:59:44
高雄長庚,39,2,0,3,否,2026-04-10 08:59:44
義大醫院,4,1,0,0,否,2026-04-10 08:59:44
高醫,21,1,0,4,否,2026-04-10 08:59:44
花蓮慈濟,26,0,0,0,否,2026-04-10 08:59:44
