醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,97,1,0,2,否,2026-03-29 03:51:04
台大兒醫,0,0,0,0,否,2026-03-29 03:51:05
三總,27,2,0,6,否,2026-03-29 03:51:05
北榮,14,3,0,2,否,2026-03-29 03:51:05
台北國泰,12,1,0,3,否,2026-03-29 03:51:05
台北馬偕,31,0,0,2,否,2026-03-29 03:51:05
馬偕兒醫,-,-,-,-,否,2026-03-29 03:51:05
新光,8,1,0,1,否,2026-03-29 03:51:05
亞東,16,4,13,1,否,2026-03-29 03:51:05
台北慈濟,19,2,0,0,否,2026-03-29 03:51:05
淡水馬偕,19,3,0,3,否,2026-03-29 03:51:05
萬芳,15,6,0,0,否,2026-03-29 03:51:05
部立雙和,13,2,0,0,否,2026-03-29 03:51:05
臺大新竹,6,1,10,0,是,2026-03-29 03:51:05
林口長庚,90,3,0,5,否,2026-03-29 03:51:05
中榮,10,1,0,2,否,2026-03-29 03:51:05
彰基,9,2,0,3,否,2026-03-29 03:51:05
彰基兒醫,-,-,-,-,否,2026-03-29 03:51:05
中國兒醫,-,-,-,-,否,2026-03-29 03:51:05
中山附醫,13,0,0,0,否,2026-03-29 03:51:05
中國附醫,14,4,0,3,否,2026-03-29 03:51:05
成大,61,5,16,0,否,2026-03-29 03:51:05
永康奇美,39,5,0,1,否,2026-03-29 03:51:05
高雄榮總,26,0,0,1,否,2026-03-29 03:51:05
高雄長庚,74,1,0,3,否,2026-03-29 03:51:05
義大醫院,4,3,0,0,否,2026-03-29 03:51:05
高醫,26,3,0,0,否,2026-03-29 03:51:05
花蓮慈濟,31,0,0,0,是,2026-03-29 03:51:05
