醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,123,4,0,6,否,2026-03-02 03:26:13
台大兒醫,0,0,0,0,否,2026-03-02 03:26:13
三總,16,0,0,2,否,2026-03-02 03:26:13
北榮,27,1,0,0,否,2026-03-02 03:26:13
台北國泰,17,0,4,0,否,2026-03-02 03:26:13
台北馬偕,33,4,0,0,否,2026-03-02 03:26:13
馬偕兒醫,-,-,-,-,否,2026-03-02 03:26:13
新光,10,0,0,0,否,2026-03-02 03:26:13
亞東,27,5,19,1,否,2026-03-02 03:26:13
台北慈濟,31,0,0,2,否,2026-03-02 03:26:13
淡水馬偕,25,0,0,3,否,2026-03-02 03:26:13
萬芳,22,0,0,4,否,2026-03-02 03:26:13
部立雙和,15,3,0,0,否,2026-03-02 03:26:13
臺大新竹,22,1,0,1,否,2026-03-02 03:26:13
林口長庚,95,10,0,11,否,2026-03-02 03:26:13
中榮,12,0,0,1,否,2026-03-02 03:26:13
彰基,22,2,0,2,否,2026-03-02 03:26:13
彰基兒醫,-,-,-,-,否,2026-03-02 03:26:13
中國兒醫,-,-,-,-,否,2026-03-02 03:26:13
中山附醫,11,2,0,0,否,2026-03-02 03:26:13
中國附醫,27,8,0,2,否,2026-03-02 03:26:13
成大,73,4,25,1,是,2026-03-02 03:26:13
永康奇美,47,5,0,2,否,2026-03-02 03:26:13
高雄榮總,42,6,0,3,否,2026-03-02 03:26:14
高雄長庚,88,1,0,6,是,2026-03-02 03:26:14
義大醫院,15,2,0,0,否,2026-03-02 03:26:14
高醫,42,1,0,5,否,2026-03-02 03:26:14
花蓮慈濟,37,1,0,0,否,2026-03-02 03:26:14
