醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,71,0,0,1,否,2026-04-25 08:41:20
台大兒醫,0,0,0,0,否,2026-04-25 08:41:20
三總,7,2,0,1,否,2026-04-25 08:41:20
北榮,9,8,0,2,否,2026-04-25 08:41:20
台北國泰,5,1,0,1,否,2026-04-25 08:41:20
台北馬偕,33,5,0,4,否,2026-04-25 08:41:20
馬偕兒醫,-,-,-,-,否,2026-04-25 08:41:20
新光,10,0,0,0,否,2026-04-25 08:41:20
亞東,9,5,11,1,否,2026-04-25 08:41:20
台北慈濟,12,2,0,0,否,2026-04-25 08:41:20
淡水馬偕,5,3,0,1,否,2026-04-25 08:41:20
萬芳,9,1,0,2,否,2026-04-25 08:41:20
部立雙和,10,3,0,0,否,2026-04-25 08:41:20
臺大新竹,1,1,0,0,否,2026-04-25 08:41:20
林口長庚,60,7,0,2,否,2026-04-25 08:41:20
中榮,5,0,0,4,否,2026-04-25 08:41:20
彰基,0,2,0,2,否,2026-04-25 08:41:20
彰基兒醫,-,-,-,-,否,2026-04-25 08:41:20
中國兒醫,-,-,-,-,否,2026-04-25 08:41:21
中山附醫,8,2,0,0,否,2026-04-25 08:41:21
中國附醫,1,6,0,0,否,2026-04-25 08:41:21
成大,25,3,0,5,否,2026-04-25 08:41:21
永康奇美,32,2,0,7,否,2026-04-25 08:41:21
高雄榮總,4,1,0,0,否,2026-04-25 08:41:21
高雄長庚,3,1,0,1,否,2026-04-25 08:41:21
義大醫院,4,0,0,0,否,2026-04-25 08:41:21
高醫,15,4,0,1,否,2026-04-25 08:41:21
花蓮慈濟,28,1,0,0,否,2026-04-25 08:41:21
