醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,109,2,0,2,是,2026-03-02 08:33:05
台大兒醫,0,0,0,0,否,2026-03-02 08:33:05
三總,28,1,0,2,否,2026-03-02 08:33:05
北榮,13,2,0,1,否,2026-03-02 08:33:05
台北國泰,22,0,0,1,否,2026-03-02 08:33:05
台北馬偕,34,3,0,1,否,2026-03-02 08:33:05
馬偕兒醫,-,-,-,-,否,2026-03-02 08:33:05
新光,11,2,0,0,否,2026-03-02 08:33:05
亞東,23,3,23,0,否,2026-03-02 08:33:05
台北慈濟,28,0,0,2,否,2026-03-02 08:33:06
淡水馬偕,19,1,0,3,否,2026-03-02 08:33:06
萬芳,14,1,0,4,否,2026-03-02 08:33:06
部立雙和,26,1,0,0,否,2026-03-02 08:33:06
臺大新竹,32,1,15,0,是,2026-03-02 08:33:06
林口長庚,105,5,0,12,否,2026-03-02 08:33:06
中榮,7,0,0,2,否,2026-03-02 08:33:06
彰基,21,4,0,1,否,2026-03-02 08:33:06
彰基兒醫,-,-,-,-,否,2026-03-02 08:33:06
中國兒醫,-,-,-,-,否,2026-03-02 08:33:06
中山附醫,15,1,0,0,否,2026-03-02 08:33:06
中國附醫,22,7,0,3,否,2026-03-02 08:33:06
成大,71,1,38,2,是,2026-03-02 08:33:06
永康奇美,37,5,0,0,否,2026-03-02 08:33:06
高雄榮總,36,2,0,4,否,2026-03-02 08:33:06
高雄長庚,86,4,0,6,是,2026-03-02 08:33:06
義大醫院,17,0,0,0,否,2026-03-02 08:33:06
高醫,39,4,0,5,否,2026-03-02 08:33:06
花蓮慈濟,23,5,0,2,否,2026-03-02 08:33:06
