醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,102,2,0,2,否,2026-03-25 08:38:29
台大兒醫,0,0,0,0,否,2026-03-25 08:38:29
三總,45,0,0,9,否,2026-03-25 08:38:29
北榮,15,3,0,0,否,2026-03-25 08:38:29
台北國泰,17,0,0,2,否,2026-03-25 08:38:29
台北馬偕,39,2,0,4,否,2026-03-25 08:38:29
馬偕兒醫,-,-,-,-,否,2026-03-25 08:38:29
新光,22,5,0,0,否,2026-03-25 08:38:29
亞東,15,4,22,2,否,2026-03-25 08:38:29
台北慈濟,15,0,0,1,否,2026-03-25 08:38:30
淡水馬偕,16,0,0,5,否,2026-03-25 08:38:30
萬芳,29,2,0,2,否,2026-03-25 08:38:30
部立雙和,30,2,0,0,否,2026-03-25 08:38:30
臺大新竹,15,2,10,0,是,2026-03-25 08:38:30
林口長庚,79,5,0,3,否,2026-03-25 08:38:30
中榮,22,0,0,2,否,2026-03-25 08:38:30
彰基,16,1,0,1,否,2026-03-25 08:38:30
彰基兒醫,-,-,-,-,否,2026-03-25 08:38:30
中國兒醫,-,-,-,-,否,2026-03-25 08:38:30
中山附醫,19,0,0,1,否,2026-03-25 08:38:30
中國附醫,23,3,0,3,否,2026-03-25 08:38:30
成大,59,1,11,5,是,2026-03-25 08:38:30
永康奇美,40,2,0,0,否,2026-03-25 08:38:30
高雄榮總,40,2,0,1,否,2026-03-25 08:38:30
高雄長庚,66,1,0,1,否,2026-03-25 08:38:30
義大醫院,11,0,0,1,否,2026-03-25 08:38:30
高醫,52,2,0,2,是,2026-03-25 08:38:30
花蓮慈濟,25,1,0,0,是,2026-03-25 08:38:30
