醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,94,1,0,1,否,2026-03-27 08:40:13
台大兒醫,0,0,0,0,否,2026-03-27 08:40:13
三總,57,0,0,2,否,2026-03-27 08:40:13
北榮,16,0,0,0,否,2026-03-27 08:40:13
台北國泰,9,4,6,0,否,2026-03-27 08:40:13
台北馬偕,38,4,0,0,否,2026-03-27 08:40:13
馬偕兒醫,-,-,-,-,否,2026-03-27 08:40:13
新光,11,0,0,1,否,2026-03-27 08:40:13
亞東,11,7,11,0,否,2026-03-27 08:40:13
台北慈濟,2,1,0,0,否,2026-03-27 08:40:13
淡水馬偕,19,0,0,3,否,2026-03-27 08:40:13
萬芳,16,4,0,1,否,2026-03-27 08:40:13
部立雙和,6,2,0,0,否,2026-03-27 08:40:13
臺大新竹,30,0,5,1,是,2026-03-27 08:40:13
林口長庚,66,8,0,6,否,2026-03-27 08:40:13
中榮,16,1,0,8,否,2026-03-27 08:40:13
彰基,18,2,0,3,否,2026-03-27 08:40:13
彰基兒醫,-,-,-,-,否,2026-03-27 08:40:13
中國兒醫,-,-,-,-,否,2026-03-27 08:40:13
中山附醫,14,3,0,1,否,2026-03-27 08:40:13
中國附醫,18,3,0,2,否,2026-03-27 08:40:13
成大,43,1,14,2,是,2026-03-27 08:40:13
永康奇美,27,2,0,0,否,2026-03-27 08:40:13
高雄榮總,32,5,0,1,否,2026-03-27 08:40:13
高雄長庚,56,3,0,2,是,2026-03-27 08:40:13
義大醫院,6,1,0,0,否,2026-03-27 08:40:13
高醫,35,7,0,1,否,2026-03-27 08:40:14
花蓮慈濟,16,0,0,0,是,2026-03-27 08:40:14
