醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,90,1,0,1,否,2026-02-25 03:31:50
台大兒醫,0,0,0,0,否,2026-02-25 03:31:50
三總,48,0,0,0,否,2026-02-25 03:31:50
北榮,24,4,0,0,否,2026-02-25 03:31:50
台北國泰,13,0,0,0,否,2026-02-25 03:31:50
台北馬偕,36,2,0,1,否,2026-02-25 03:31:50
馬偕兒醫,-,-,-,-,否,2026-02-25 03:31:50
新光,20,1,0,0,否,2026-02-25 03:31:50
亞東,20,3,18,1,是,2026-02-25 03:31:50
台北慈濟,15,1,0,2,否,2026-02-25 03:31:50
淡水馬偕,22,2,0,6,否,2026-02-25 03:31:50
萬芳,18,2,0,0,否,2026-02-25 03:31:50
部立雙和,16,3,0,0,否,2026-02-25 03:31:50
臺大新竹,13,0,6,0,是,2026-02-25 03:31:50
林口長庚,69,2,7,11,否,2026-02-25 03:31:50
中榮,14,1,0,1,否,2026-02-25 03:31:50
彰基,28,3,0,4,否,2026-02-25 03:31:50
彰基兒醫,-,-,-,-,否,2026-02-25 03:31:50
中國兒醫,-,-,-,-,否,2026-02-25 03:31:50
中山附醫,16,0,0,0,否,2026-02-25 03:31:50
中國附醫,24,7,0,2,否,2026-02-25 03:31:50
成大,80,3,31,5,是,2026-02-25 03:31:50
永康奇美,46,6,0,3,否,2026-02-25 03:31:50
高雄榮總,39,0,0,4,否,2026-02-25 03:31:50
高雄長庚,54,1,0,9,否,2026-02-25 03:31:50
義大醫院,45,1,0,1,否,2026-02-25 03:31:50
高醫,37,2,0,4,否,2026-02-25 03:31:50
花蓮慈濟,26,0,0,0,否,2026-02-25 03:31:50
