醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,111,2,0,2,否,2026-03-06 03:23:41
台大兒醫,0,0,0,0,否,2026-03-06 03:23:41
三總,52,1,0,4,否,2026-03-06 03:23:41
北榮,31,1,0,1,否,2026-03-06 03:23:41
台北國泰,22,0,4,3,否,2026-03-06 03:23:41
台北馬偕,44,0,0,2,否,2026-03-06 03:23:41
馬偕兒醫,-,-,-,-,否,2026-03-06 03:23:42
新光,13,0,0,0,否,2026-03-06 03:23:42
亞東,40,2,31,3,是,2026-03-06 03:23:42
台北慈濟,20,1,0,1,否,2026-03-06 03:23:42
淡水馬偕,12,0,0,0,否,2026-03-06 03:23:42
萬芳,21,2,0,1,否,2026-03-06 03:23:42
部立雙和,17,1,0,0,否,2026-03-06 03:23:42
臺大新竹,34,1,10,1,是,2026-03-06 03:23:42
林口長庚,85,2,0,10,否,2026-03-06 03:23:42
中榮,28,0,0,0,否,2026-03-06 03:23:42
彰基,0,1,0,1,否,2026-03-06 03:23:42
彰基兒醫,-,-,-,-,否,2026-03-06 03:23:42
中國兒醫,-,-,-,-,否,2026-03-06 03:23:42
中山附醫,28,1,0,0,否,2026-03-06 03:23:42
中國附醫,32,8,0,2,否,2026-03-06 03:23:42
成大,64,7,16,4,否,2026-03-06 03:23:42
永康奇美,33,0,0,0,否,2026-03-06 03:23:42
高雄榮總,30,3,0,6,否,2026-03-06 03:23:42
高雄長庚,60,0,0,2,否,2026-03-06 03:23:42
義大醫院,18,2,0,0,否,2026-03-06 03:23:42
高醫,48,4,0,4,否,2026-03-06 03:23:43
花蓮慈濟,24,2,0,1,否,2026-03-06 03:23:43
