醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,106,1,4,0,是,2026-04-20 04:15:47
台大兒醫,0,0,0,0,否,2026-04-20 04:15:47
三總,33,1,0,3,否,2026-04-20 04:15:47
北榮,28,0,0,0,否,2026-04-20 04:15:47
台北國泰,12,1,0,3,否,2026-04-20 04:15:47
台北馬偕,56,5,0,11,否,2026-04-20 04:15:47
馬偕兒醫,-,-,-,-,否,2026-04-20 04:15:47
新光,28,3,0,0,否,2026-04-20 04:15:47
亞東,38,6,26,3,否,2026-04-20 04:15:47
台北慈濟,19,4,0,2,否,2026-04-20 04:15:47
淡水馬偕,15,4,0,4,否,2026-04-20 04:15:47
萬芳,31,2,0,0,否,2026-04-20 04:15:47
部立雙和,52,3,13,0,否,2026-04-20 04:15:47
臺大新竹,18,1,10,0,是,2026-04-20 04:15:47
林口長庚,143,3,15,3,是,2026-04-20 04:15:47
中榮,19,0,0,2,否,2026-04-20 04:15:47
彰基,18,2,0,1,否,2026-04-20 04:15:47
彰基兒醫,-,-,-,-,否,2026-04-20 04:15:47
中國兒醫,-,-,-,-,否,2026-04-20 04:15:47
中山附醫,19,2,0,0,否,2026-04-20 04:15:47
中國附醫,18,3,0,4,否,2026-04-20 04:15:47
成大,47,5,20,4,是,2026-04-20 04:15:48
永康奇美,52,2,0,0,否,2026-04-20 04:15:48
高雄榮總,37,0,0,0,否,2026-04-20 04:15:48
高雄長庚,45,2,0,2,否,2026-04-20 04:15:48
義大醫院,16,2,0,0,否,2026-04-20 04:15:48
高醫,51,0,2,5,否,2026-04-20 04:15:48
花蓮慈濟,55,1,0,0,否,2026-04-20 04:15:48
