醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,100,0,10,0,是,2026-03-11 03:21:04
台大兒醫,0,0,0,0,否,2026-03-11 03:21:04
三總,49,2,0,3,否,2026-03-11 03:21:04
北榮,32,0,0,0,否,2026-03-11 03:21:04
台北國泰,25,0,4,2,否,2026-03-11 03:21:04
台北馬偕,31,5,0,1,否,2026-03-11 03:21:04
馬偕兒醫,-,-,-,-,否,2026-03-11 03:21:04
新光,12,1,0,0,否,2026-03-11 03:21:04
亞東,24,7,20,3,否,2026-03-11 03:21:04
台北慈濟,22,1,0,0,否,2026-03-11 03:21:04
淡水馬偕,10,2,0,2,否,2026-03-11 03:21:04
萬芳,22,1,0,2,否,2026-03-11 03:21:04
部立雙和,17,1,0,0,否,2026-03-11 03:21:04
臺大新竹,31,1,5,0,是,2026-03-11 03:21:04
林口長庚,89,3,0,9,是,2026-03-11 03:21:04
中榮,20,2,0,0,否,2026-03-11 03:21:04
彰基,1,2,0,2,否,2026-03-11 03:21:05
彰基兒醫,-,-,-,-,否,2026-03-11 03:21:05
中國兒醫,-,-,-,-,否,2026-03-11 03:21:05
中山附醫,20,1,0,1,否,2026-03-11 03:21:05
中國附醫,27,9,0,4,否,2026-03-11 03:21:05
成大,60,6,19,3,是,2026-03-11 03:21:05
永康奇美,41,4,0,3,否,2026-03-11 03:21:05
高雄榮總,29,1,0,1,否,2026-03-11 03:21:05
高雄長庚,82,0,0,0,否,2026-03-11 03:21:05
義大醫院,8,2,0,2,否,2026-03-11 03:21:05
高醫,49,2,0,1,否,2026-03-11 03:21:05
花蓮慈濟,27,2,0,0,否,2026-03-11 03:21:05
