醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,90,1,0,5,否,2026-02-26 03:28:50
台大兒醫,0,0,0,0,否,2026-02-26 03:28:50
三總,52,1,0,4,否,2026-02-26 03:28:50
北榮,32,3,0,0,否,2026-02-26 03:28:50
台北國泰,8,0,0,0,否,2026-02-26 03:28:50
台北馬偕,44,2,0,5,否,2026-02-26 03:28:50
馬偕兒醫,-,-,-,-,否,2026-02-26 03:28:50
新光,32,1,0,0,是,2026-02-26 03:28:50
亞東,31,8,21,3,是,2026-02-26 03:28:50
台北慈濟,3,3,0,2,否,2026-02-26 03:28:50
淡水馬偕,11,2,0,2,否,2026-02-26 03:28:50
萬芳,15,2,0,1,否,2026-02-26 03:28:50
部立雙和,28,3,0,0,否,2026-02-26 03:28:50
臺大新竹,20,1,3,0,是,2026-02-26 03:28:50
林口長庚,48,2,0,14,否,2026-02-26 03:28:50
中榮,20,0,0,5,否,2026-02-26 03:28:50
彰基,15,2,0,5,否,2026-02-26 03:28:50
彰基兒醫,-,-,-,-,否,2026-02-26 03:28:50
中國兒醫,-,-,-,-,否,2026-02-26 03:28:50
中山附醫,17,4,0,0,否,2026-02-26 03:28:50
中國附醫,31,10,0,2,否,2026-02-26 03:28:50
成大,64,5,20,4,是,2026-02-26 03:28:50
永康奇美,37,4,0,2,否,2026-02-26 03:28:51
高雄榮總,20,0,0,3,否,2026-02-26 03:28:51
高雄長庚,40,1,0,8,否,2026-02-26 03:28:51
義大醫院,35,0,0,1,否,2026-02-26 03:28:51
高醫,39,2,0,5,否,2026-02-26 03:28:51
花蓮慈濟,29,1,0,0,否,2026-02-26 03:28:51
