醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,82,1,0,4,否,2026-02-27 08:31:06
台大兒醫,0,0,0,0,否,2026-02-27 08:31:06
三總,33,1,0,5,否,2026-02-27 08:31:06
北榮,6,1,0,1,否,2026-02-27 08:31:06
台北國泰,6,0,0,2,否,2026-02-27 08:31:07
台北馬偕,25,4,0,4,否,2026-02-27 08:31:07
馬偕兒醫,-,-,-,-,否,2026-02-27 08:31:07
新光,9,1,0,0,否,2026-02-27 08:31:07
亞東,13,7,25,0,否,2026-02-27 08:31:07
台北慈濟,1,4,0,2,否,2026-02-27 08:31:07
淡水馬偕,9,2,0,2,否,2026-02-27 08:31:07
萬芳,12,3,0,0,否,2026-02-27 08:31:07
部立雙和,7,3,0,1,否,2026-02-27 08:31:07
臺大新竹,12,0,0,0,否,2026-02-27 08:31:07
林口長庚,49,11,0,8,否,2026-02-27 08:31:07
中榮,3,0,0,1,否,2026-02-27 08:31:07
彰基,12,0,0,1,否,2026-02-27 08:31:07
彰基兒醫,-,-,-,-,否,2026-02-27 08:31:07
中國兒醫,-,-,-,-,否,2026-02-27 08:31:07
中山附醫,8,4,0,0,否,2026-02-27 08:31:07
中國附醫,5,8,0,1,否,2026-02-27 08:31:07
成大,64,5,20,4,是,2026-02-27 08:31:07
永康奇美,9,3,0,0,否,2026-02-27 08:31:07
高雄榮總,13,2,0,3,否,2026-02-27 08:31:07
高雄長庚,27,0,0,4,否,2026-02-27 08:31:07
義大醫院,7,2,0,0,否,2026-02-27 08:31:07
高醫,16,2,0,1,否,2026-02-27 08:31:07
花蓮慈濟,22,0,0,0,否,2026-02-27 08:31:07
