醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,97,0,0,0,否,2026-04-12 08:37:24
台大兒醫,0,0,0,0,否,2026-04-12 08:37:24
三總,39,1,0,4,否,2026-04-12 08:37:24
北榮,24,4,0,2,否,2026-04-12 08:37:24
台北國泰,24,2,7,2,是,2026-04-12 08:37:24
台北馬偕,42,7,0,1,否,2026-04-12 08:37:24
馬偕兒醫,-,-,-,-,否,2026-04-12 08:37:25
新光,10,2,0,0,否,2026-04-12 08:37:25
亞東,28,8,21,0,否,2026-04-12 08:37:25
台北慈濟,21,5,0,0,否,2026-04-12 08:37:25
淡水馬偕,11,5,0,2,否,2026-04-12 08:37:25
萬芳,24,4,0,2,否,2026-04-12 08:37:25
部立雙和,41,5,2,0,否,2026-04-12 08:37:25
臺大新竹,16,2,0,0,否,2026-04-12 08:37:25
林口長庚,114,7,0,2,否,2026-04-12 08:37:25
中榮,5,1,0,3,否,2026-04-12 08:37:25
彰基,17,2,0,3,否,2026-04-12 08:37:25
彰基兒醫,-,-,-,-,否,2026-04-12 08:37:25
中國兒醫,-,-,-,-,否,2026-04-12 08:37:25
中山附醫,6,2,0,0,否,2026-04-12 08:37:25
中國附醫,10,5,0,2,否,2026-04-12 08:37:25
成大,45,6,0,1,否,2026-04-12 08:37:25
永康奇美,35,2,0,0,否,2026-04-12 08:37:25
高雄榮總,20,5,0,0,否,2026-04-12 08:37:25
高雄長庚,51,1,0,5,否,2026-04-12 08:37:25
義大醫院,9,0,0,0,否,2026-04-12 08:37:25
高醫,49,2,0,2,否,2026-04-12 08:37:25
花蓮慈濟,44,0,0,1,否,2026-04-12 08:37:25
