醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,86,0,0,2,否,2026-03-15 03:46:25
台大兒醫,0,0,0,0,否,2026-03-15 03:46:25
三總,32,1,0,4,否,2026-03-15 03:46:25
北榮,15,1,0,1,否,2026-03-15 03:46:25
台北國泰,19,1,7,3,是,2026-03-15 03:46:25
台北馬偕,26,5,0,0,否,2026-03-15 03:46:25
馬偕兒醫,-,-,-,-,否,2026-03-15 03:46:25
新光,5,1,0,0,否,2026-03-15 03:46:26
亞東,20,7,15,0,否,2026-03-15 03:46:26
台北慈濟,24,0,0,0,否,2026-03-15 03:46:26
淡水馬偕,11,2,0,1,否,2026-03-15 03:46:26
萬芳,8,2,0,0,否,2026-03-15 03:46:26
部立雙和,33,6,0,1,否,2026-03-15 03:46:26
臺大新竹,7,1,0,0,否,2026-03-15 03:46:26
林口長庚,104,5,0,5,否,2026-03-15 03:46:26
中榮,10,2,0,5,否,2026-03-15 03:46:26
彰基,6,3,0,3,否,2026-03-15 03:46:26
彰基兒醫,-,-,-,-,否,2026-03-15 03:46:26
中國兒醫,-,-,-,-,否,2026-03-15 03:46:26
中山附醫,10,2,0,0,否,2026-03-15 03:46:26
中國附醫,9,8,0,2,否,2026-03-15 03:46:26
成大,48,2,0,4,否,2026-03-15 03:46:26
永康奇美,30,4,0,2,否,2026-03-15 03:46:26
高雄榮總,6,1,0,1,否,2026-03-15 03:46:26
高雄長庚,40,0,0,2,否,2026-03-15 03:46:26
義大醫院,4,1,0,0,否,2026-03-15 03:46:26
高醫,32,3,0,2,否,2026-03-15 03:46:26
花蓮慈濟,21,0,0,0,否,2026-03-15 03:46:26
