醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,91,5,7,2,否,2026-04-09 03:42:30
台大兒醫,0,0,0,0,否,2026-04-09 03:42:30
三總,40,5,0,1,否,2026-04-09 03:42:30
北榮,26,3,0,0,否,2026-04-09 03:42:30
台北國泰,25,0,8,0,是,2026-04-09 03:42:30
台北馬偕,53,0,0,4,否,2026-04-09 03:42:30
馬偕兒醫,-,-,-,-,否,2026-04-09 03:42:30
新光,19,0,0,1,否,2026-04-09 03:42:30
亞東,39,8,20,1,否,2026-04-09 03:42:30
台北慈濟,32,3,0,1,否,2026-04-09 03:42:30
淡水馬偕,12,1,0,1,否,2026-04-09 03:42:30
萬芳,30,3,0,0,否,2026-04-09 03:42:30
部立雙和,24,4,0,0,否,2026-04-09 03:42:30
臺大新竹,18,0,0,0,否,2026-04-09 03:42:30
林口長庚,84,4,0,4,否,2026-04-09 03:42:30
中榮,24,0,0,1,否,2026-04-09 03:42:30
彰基,0,3,0,1,否,2026-04-09 03:42:30
彰基兒醫,-,-,-,-,否,2026-04-09 03:42:30
中國兒醫,-,-,-,-,否,2026-04-09 03:42:30
中山附醫,9,5,0,0,否,2026-04-09 03:42:31
中國附醫,23,4,0,3,否,2026-04-09 03:42:31
成大,62,6,7,1,否,2026-04-09 03:42:31
永康奇美,47,3,0,0,否,2026-04-09 03:42:31
高雄榮總,20,2,0,0,否,2026-04-09 03:42:31
高雄長庚,79,5,0,6,否,2026-04-09 03:42:31
義大醫院,13,2,0,2,否,2026-04-09 03:42:31
高醫,33,2,0,3,否,2026-04-09 03:42:31
花蓮慈濟,39,1,0,1,否,2026-04-09 03:42:31
