醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,73,1,0,1,否,2026-03-28 08:28:03
台大兒醫,0,0,0,0,否,2026-03-28 08:28:03
三總,35,1,0,4,否,2026-03-28 08:28:03
北榮,8,0,0,1,否,2026-03-28 08:28:03
台北國泰,10,1,0,2,否,2026-03-28 08:28:03
台北馬偕,29,9,0,0,否,2026-03-28 08:28:03
馬偕兒醫,-,-,-,-,否,2026-03-28 08:28:03
新光,11,0,0,1,否,2026-03-28 08:28:03
亞東,9,2,13,0,否,2026-03-28 08:28:03
台北慈濟,2,2,0,0,否,2026-03-28 08:28:03
淡水馬偕,21,3,0,5,否,2026-03-28 08:28:03
萬芳,12,3,0,0,否,2026-03-28 08:28:03
部立雙和,7,3,0,0,否,2026-03-28 08:28:03
臺大新竹,14,3,0,1,否,2026-03-28 08:28:03
林口長庚,78,3,0,4,否,2026-03-28 08:28:03
中榮,1,0,0,2,否,2026-03-28 08:28:03
彰基,3,1,0,2,否,2026-03-28 08:28:03
彰基兒醫,-,-,-,-,否,2026-03-28 08:28:03
中國兒醫,-,-,-,-,否,2026-03-28 08:28:04
中山附醫,7,1,0,0,否,2026-03-28 08:28:04
中國附醫,10,5,0,3,否,2026-03-28 08:28:04
成大,45,3,0,0,否,2026-03-28 08:28:04
永康奇美,26,2,0,1,否,2026-03-28 08:28:04
高雄榮總,29,1,0,1,否,2026-03-28 08:28:04
高雄長庚,67,1,0,0,否,2026-03-28 08:28:04
義大醫院,8,1,0,0,否,2026-03-28 08:28:04
高醫,27,4,0,1,否,2026-03-28 08:28:04
花蓮慈濟,23,3,0,0,是,2026-03-28 08:28:04
