醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,88,0,0,1,否,2026-03-20 08:30:21
台大兒醫,0,0,0,0,否,2026-03-20 08:30:21
三總,34,2,0,5,否,2026-03-20 08:30:21
北榮,10,7,0,2,否,2026-03-20 08:30:21
台北國泰,24,0,4,0,否,2026-03-20 08:30:21
台北馬偕,42,2,0,0,否,2026-03-20 08:30:21
馬偕兒醫,-,-,-,-,否,2026-03-20 08:30:21
新光,6,0,0,1,否,2026-03-20 08:30:21
亞東,17,5,13,0,否,2026-03-20 08:30:21
台北慈濟,20,3,0,0,否,2026-03-20 08:30:21
淡水馬偕,12,4,0,3,否,2026-03-20 08:30:21
萬芳,18,0,0,1,否,2026-03-20 08:30:21
部立雙和,28,2,0,0,否,2026-03-20 08:30:21
臺大新竹,14,2,0,0,否,2026-03-20 08:30:21
林口長庚,82,8,19,3,是,2026-03-20 08:30:21
中榮,18,0,0,3,否,2026-03-20 08:30:21
彰基,0,1,0,0,否,2026-03-20 08:30:21
彰基兒醫,-,-,-,-,否,2026-03-20 08:30:21
中國兒醫,-,-,-,-,否,2026-03-20 08:30:21
中山附醫,15,1,0,1,否,2026-03-20 08:30:21
中國附醫,24,4,0,5,否,2026-03-20 08:30:21
成大,54,4,4,5,否,2026-03-20 08:30:22
永康奇美,18,5,0,0,否,2026-03-20 08:30:22
高雄榮總,29,0,0,3,否,2026-03-20 08:30:22
高雄長庚,40,0,0,3,否,2026-03-20 08:30:22
義大醫院,2,1,0,0,否,2026-03-20 08:30:22
高醫,29,4,0,4,是,2026-03-20 08:30:22
花蓮慈濟,53,0,0,0,否,2026-03-20 08:30:22
