醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,87,3,0,0,是,2026-04-16 04:11:05
台大兒醫,0,0,0,0,否,2026-04-16 04:11:05
三總,47,2,0,1,否,2026-04-16 04:11:05
北榮,33,3,0,0,否,2026-04-16 04:11:05
台北國泰,23,0,5,0,否,2026-04-16 04:11:05
台北馬偕,60,5,0,1,否,2026-04-16 04:11:05
馬偕兒醫,-,-,-,-,否,2026-04-16 04:11:05
新光,32,1,0,0,否,2026-04-16 04:11:05
亞東,44,11,35,1,否,2026-04-16 04:11:05
台北慈濟,28,0,0,1,否,2026-04-16 04:11:05
淡水馬偕,7,3,0,0,否,2026-04-16 04:11:05
萬芳,36,3,0,0,否,2026-04-16 04:11:05
部立雙和,28,4,0,0,否,2026-04-16 04:11:05
臺大新竹,12,0,0,0,否,2026-04-16 04:11:05
林口長庚,139,7,36,3,是,2026-04-16 04:11:05
中榮,19,1,0,1,否,2026-04-16 04:11:05
彰基,19,1,0,0,否,2026-04-16 04:11:05
彰基兒醫,-,-,-,-,否,2026-04-16 04:11:05
中國兒醫,-,-,-,-,否,2026-04-16 04:11:05
中山附醫,23,3,0,0,否,2026-04-16 04:11:05
中國附醫,27,4,0,5,否,2026-04-16 04:11:05
成大,41,3,6,1,否,2026-04-16 04:11:06
永康奇美,35,3,0,0,否,2026-04-16 04:11:06
高雄榮總,29,2,0,0,否,2026-04-16 04:11:06
高雄長庚,59,2,0,3,否,2026-04-16 04:11:06
義大醫院,24,1,0,2,否,2026-04-16 04:11:06
高醫,58,2,8,2,否,2026-04-16 04:11:06
花蓮慈濟,42,1,0,0,否,2026-04-16 04:11:06
