醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,106,1,0,2,否,2026-03-19 03:36:15
台大兒醫,0,0,0,0,否,2026-03-19 03:36:15
三總,53,2,0,5,否,2026-03-19 03:36:15
北榮,29,2,0,1,否,2026-03-19 03:36:15
台北國泰,24,1,5,0,否,2026-03-19 03:36:15
台北馬偕,49,3,0,1,否,2026-03-19 03:36:15
馬偕兒醫,-,-,-,-,否,2026-03-19 03:36:15
新光,25,2,0,0,是,2026-03-19 03:36:15
亞東,33,7,17,0,否,2026-03-19 03:36:15
台北慈濟,31,1,0,2,否,2026-03-19 03:36:16
淡水馬偕,15,1,0,4,否,2026-03-19 03:36:16
萬芳,25,4,0,0,否,2026-03-19 03:36:16
部立雙和,29,2,0,0,否,2026-03-19 03:36:16
臺大新竹,22,0,0,0,否,2026-03-19 03:36:16
林口長庚,122,2,36,6,是,2026-03-19 03:36:16
中榮,27,1,0,2,否,2026-03-19 03:36:16
彰基,19,2,0,0,否,2026-03-19 03:36:16
彰基兒醫,-,-,-,-,否,2026-03-19 03:36:16
中國兒醫,-,-,-,-,否,2026-03-19 03:36:16
中山附醫,24,1,0,0,否,2026-03-19 03:36:16
中國附醫,18,2,0,1,否,2026-03-19 03:36:16
成大,77,2,28,3,是,2026-03-19 03:36:16
永康奇美,49,7,0,2,否,2026-03-19 03:36:16
高雄榮總,30,2,0,1,否,2026-03-19 03:36:16
高雄長庚,56,4,0,1,否,2026-03-19 03:36:16
義大醫院,8,0,0,1,否,2026-03-19 03:36:16
高醫,68,0,8,3,是,2026-03-19 03:36:16
花蓮慈濟,53,0,0,0,否,2026-03-19 03:36:16
