醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,41,2,13,3,否,2026-04-02 08:44:35
台大兒醫,0,0,0,0,否,2026-04-02 08:44:35
三總,25,2,0,3,否,2026-04-02 08:44:35
北榮,13,1,0,0,否,2026-04-02 08:44:35
台北國泰,14,0,0,1,否,2026-04-02 08:44:35
台北馬偕,41,2,0,2,否,2026-04-02 08:44:35
馬偕兒醫,-,-,-,-,否,2026-04-02 08:44:35
新光,9,0,0,0,否,2026-04-02 08:44:35
亞東,23,10,28,1,否,2026-04-02 08:44:35
台北慈濟,3,3,0,0,否,2026-04-02 08:44:36
淡水馬偕,20,1,0,5,否,2026-04-02 08:44:36
萬芳,18,5,0,0,否,2026-04-02 08:44:36
部立雙和,21,4,0,0,否,2026-04-02 08:44:36
臺大新竹,24,0,0,0,否,2026-04-02 08:44:36
林口長庚,30,3,0,6,否,2026-04-02 08:44:36
中榮,12,4,0,4,否,2026-04-02 08:44:36
彰基,19,5,0,0,否,2026-04-02 08:44:36
彰基兒醫,-,-,-,-,否,2026-04-02 08:44:36
中國兒醫,-,-,-,-,否,2026-04-02 08:44:36
中山附醫,11,0,0,0,否,2026-04-02 08:44:36
中國附醫,7,3,0,3,否,2026-04-02 08:44:36
成大,32,6,0,1,否,2026-04-02 08:44:36
永康奇美,12,8,0,0,否,2026-04-02 08:44:36
高雄榮總,4,1,0,1,否,2026-04-02 08:44:36
高雄長庚,10,2,0,1,否,2026-04-02 08:44:36
義大醫院,4,2,0,0,否,2026-04-02 08:44:36
高醫,31,1,0,4,否,2026-04-02 08:44:36
花蓮慈濟,13,0,0,2,否,2026-04-02 08:44:36
