醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,100,0,0,0,否,2026-04-12 03:58:25
台大兒醫,0,0,0,0,否,2026-04-12 03:58:25
三總,36,2,0,5,否,2026-04-12 03:58:25
北榮,27,4,0,1,否,2026-04-12 03:58:25
台北國泰,28,2,6,2,否,2026-04-12 03:58:25
台北馬偕,40,4,0,1,否,2026-04-12 03:58:25
馬偕兒醫,-,-,-,-,否,2026-04-12 03:58:25
新光,15,0,0,0,否,2026-04-12 03:58:25
亞東,30,8,24,1,否,2026-04-12 03:58:25
台北慈濟,20,0,0,0,否,2026-04-12 03:58:25
淡水馬偕,8,3,0,2,否,2026-04-12 03:58:25
萬芳,23,4,0,1,否,2026-04-12 03:58:25
部立雙和,35,4,0,0,否,2026-04-12 03:58:25
臺大新竹,11,1,0,0,否,2026-04-12 03:58:25
林口長庚,108,5,0,2,否,2026-04-12 03:58:25
中榮,11,2,0,3,否,2026-04-12 03:58:25
彰基,14,0,0,1,否,2026-04-12 03:58:25
彰基兒醫,-,-,-,-,否,2026-04-12 03:58:25
中國兒醫,-,-,-,-,否,2026-04-12 03:58:25
中山附醫,14,4,0,0,否,2026-04-12 03:58:25
中國附醫,10,4,0,1,否,2026-04-12 03:58:26
成大,49,1,10,3,是,2026-04-12 03:58:26
永康奇美,38,2,0,1,否,2026-04-12 03:58:26
高雄榮總,29,2,0,1,否,2026-04-12 03:58:26
高雄長庚,51,6,0,7,否,2026-04-12 03:58:26
義大醫院,4,2,0,0,否,2026-04-12 03:58:26
高醫,43,1,0,4,否,2026-04-12 03:58:26
花蓮慈濟,38,0,0,0,否,2026-04-12 03:58:26
