醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,89,3,0,1,是,2026-04-22 03:55:49
台大兒醫,0,0,0,0,否,2026-04-22 03:55:49
三總,36,0,0,0,否,2026-04-22 03:55:49
北榮,31,2,0,2,否,2026-04-22 03:55:49
台北國泰,14,0,2,0,否,2026-04-22 03:55:49
台北馬偕,52,3,0,2,否,2026-04-22 03:55:49
馬偕兒醫,-,-,-,-,否,2026-04-22 03:55:49
新光,32,2,0,0,否,2026-04-22 03:55:49
亞東,38,2,25,0,否,2026-04-22 03:55:49
台北慈濟,21,1,0,0,否,2026-04-22 03:55:49
淡水馬偕,10,1,0,2,否,2026-04-22 03:55:49
萬芳,27,5,0,0,否,2026-04-22 03:55:49
部立雙和,39,2,0,1,否,2026-04-22 03:55:50
臺大新竹,10,2,5,0,是,2026-04-22 03:55:50
林口長庚,111,4,15,2,是,2026-04-22 03:55:50
中榮,44,3,0,2,否,2026-04-22 03:55:50
彰基,15,1,0,0,否,2026-04-22 03:55:50
彰基兒醫,-,-,-,-,否,2026-04-22 03:55:50
中國兒醫,-,-,-,-,否,2026-04-22 03:55:50
中山附醫,30,0,0,1,否,2026-04-22 03:55:50
中國附醫,28,4,0,2,否,2026-04-22 03:55:50
成大,49,3,15,4,否,2026-04-22 03:55:50
永康奇美,48,8,0,0,否,2026-04-22 03:55:50
高雄榮總,40,3,0,4,是,2026-04-22 03:55:50
高雄長庚,35,0,0,1,否,2026-04-22 03:55:50
義大醫院,28,3,0,0,否,2026-04-22 03:55:50
高醫,73,4,30,8,是,2026-04-22 03:55:50
花蓮慈濟,36,0,0,1,否,2026-04-22 03:55:50
