醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,95,0,0,3,是,2026-03-29 08:29:34
台大兒醫,0,0,0,0,否,2026-03-29 08:29:34
三總,27,1,0,5,否,2026-03-29 08:29:34
北榮,7,1,0,1,否,2026-03-29 08:29:34
台北國泰,10,0,2,2,否,2026-03-29 08:29:34
台北馬偕,32,2,0,2,否,2026-03-29 08:29:34
馬偕兒醫,-,-,-,-,否,2026-03-29 08:29:34
新光,8,2,0,0,否,2026-03-29 08:29:35
亞東,9,2,14,1,否,2026-03-29 08:29:35
台北慈濟,20,0,0,1,否,2026-03-29 08:29:35
淡水馬偕,26,2,0,4,否,2026-03-29 08:29:35
萬芳,17,4,0,0,否,2026-03-29 08:29:35
部立雙和,16,3,0,0,否,2026-03-29 08:29:35
臺大新竹,10,1,0,0,否,2026-03-29 08:29:35
林口長庚,89,6,0,5,否,2026-03-29 08:29:35
中榮,12,0,0,2,否,2026-03-29 08:29:35
彰基,11,0,0,2,否,2026-03-29 08:29:35
彰基兒醫,-,-,-,-,否,2026-03-29 08:29:35
中國兒醫,-,-,-,-,否,2026-03-29 08:29:35
中山附醫,16,1,0,0,否,2026-03-29 08:29:35
中國附醫,11,3,0,3,否,2026-03-29 08:29:35
成大,62,3,20,0,是,2026-03-29 08:29:35
永康奇美,39,8,0,1,否,2026-03-29 08:29:35
高雄榮總,28,2,0,0,否,2026-03-29 08:29:35
高雄長庚,84,5,0,2,否,2026-03-29 08:29:35
義大醫院,7,1,0,0,否,2026-03-29 08:29:35
高醫,32,2,0,0,否,2026-03-29 08:29:35
花蓮慈濟,37,0,0,0,是,2026-03-29 08:29:35
