醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,78,1,0,1,否,2026-04-27 04:26:08
台大兒醫,0,0,0,0,否,2026-04-27 04:26:08
三總,15,3,0,2,否,2026-04-27 04:26:08
北榮,18,7,0,1,否,2026-04-27 04:26:08
台北國泰,9,2,0,0,否,2026-04-27 04:26:08
台北馬偕,42,5,0,2,否,2026-04-27 04:26:08
馬偕兒醫,-,-,-,-,否,2026-04-27 04:26:08
新光,15,2,0,0,否,2026-04-27 04:26:08
亞東,32,4,17,2,否,2026-04-27 04:26:09
台北慈濟,29,0,0,0,否,2026-04-27 04:26:09
淡水馬偕,18,1,0,3,否,2026-04-27 04:26:09
萬芳,25,3,0,2,否,2026-04-27 04:26:09
部立雙和,20,1,0,0,否,2026-04-27 04:26:09
臺大新竹,14,0,0,1,否,2026-04-27 04:26:09
林口長庚,85,5,0,3,否,2026-04-27 04:26:09
中榮,12,2,0,1,否,2026-04-27 04:26:09
彰基,18,2,0,1,否,2026-04-27 04:26:09
彰基兒醫,-,-,-,-,否,2026-04-27 04:26:09
中國兒醫,-,-,-,-,否,2026-04-27 04:26:09
中山附醫,19,4,0,0,否,2026-04-27 04:26:09
中國附醫,16,9,0,2,否,2026-04-27 04:26:09
成大,61,1,26,4,是,2026-04-27 04:26:09
永康奇美,46,16,0,4,否,2026-04-27 04:26:09
高雄榮總,18,0,0,1,否,2026-04-27 04:26:09
高雄長庚,34,6,0,3,否,2026-04-27 04:26:09
義大醫院,26,2,0,1,否,2026-04-27 04:26:09
高醫,44,1,0,1,否,2026-04-27 04:26:09
花蓮慈濟,56,1,0,1,否,2026-04-27 04:26:09
