醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,89,1,0,2,是,2026-04-18 08:38:09
台大兒醫,0,0,0,0,否,2026-04-18 08:38:09
三總,17,1,0,2,否,2026-04-18 08:38:09
北榮,18,0,0,2,否,2026-04-18 08:38:09
台北國泰,3,2,0,0,否,2026-04-18 08:38:09
台北馬偕,43,7,0,4,否,2026-04-18 08:38:09
馬偕兒醫,-,-,-,-,否,2026-04-18 08:38:09
新光,18,1,0,0,否,2026-04-18 08:38:09
亞東,5,4,11,1,否,2026-04-18 08:38:09
台北慈濟,4,2,0,0,否,2026-04-18 08:38:09
淡水馬偕,8,2,0,2,否,2026-04-18 08:38:09
萬芳,15,2,0,0,否,2026-04-18 08:38:09
部立雙和,36,4,0,0,否,2026-04-18 08:38:09
臺大新竹,6,0,3,0,是,2026-04-18 08:38:09
林口長庚,116,6,0,0,是,2026-04-18 08:38:09
中榮,7,0,0,2,否,2026-04-18 08:38:10
彰基,8,2,0,0,否,2026-04-18 08:38:10
彰基兒醫,-,-,-,-,否,2026-04-18 08:38:10
中國兒醫,-,-,-,-,否,2026-04-18 08:38:10
中山附醫,2,3,0,0,否,2026-04-18 08:38:10
中國附醫,12,6,0,4,否,2026-04-18 08:38:10
成大,24,1,0,4,否,2026-04-18 08:38:10
永康奇美,20,1,0,1,否,2026-04-18 08:38:10
高雄榮總,6,1,0,0,否,2026-04-18 08:38:10
高雄長庚,14,1,0,1,否,2026-04-18 08:38:10
義大醫院,9,0,0,0,否,2026-04-18 08:38:10
高醫,37,2,0,0,否,2026-04-18 08:38:10
花蓮慈濟,24,3,0,0,否,2026-04-18 08:38:10
