醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,35,3,0,2,否,2026-04-01 08:54:31
台大兒醫,0,0,0,0,否,2026-04-01 08:54:31
三總,30,3,0,6,否,2026-04-01 08:54:31
北榮,19,3,0,2,否,2026-04-01 08:54:31
台北國泰,22,0,1,2,否,2026-04-01 08:54:31
台北馬偕,56,1,0,3,否,2026-04-01 08:54:31
馬偕兒醫,-,-,-,-,否,2026-04-01 08:54:31
新光,12,0,0,0,否,2026-04-01 08:54:31
亞東,37,2,20,0,否,2026-04-01 08:54:32
台北慈濟,16,3,0,2,否,2026-04-01 08:54:32
淡水馬偕,13,2,0,0,否,2026-04-01 08:54:32
萬芳,33,5,0,1,否,2026-04-01 08:54:32
部立雙和,29,1,0,0,否,2026-04-01 08:54:32
臺大新竹,14,1,0,1,否,2026-04-01 08:54:32
林口長庚,46,0,0,8,否,2026-04-01 08:54:32
中榮,18,0,0,2,否,2026-04-01 08:54:32
彰基,14,0,0,2,否,2026-04-01 08:54:32
彰基兒醫,-,-,-,-,否,2026-04-01 08:54:32
中國兒醫,-,-,-,-,否,2026-04-01 08:54:32
中山附醫,17,1,0,0,否,2026-04-01 08:54:32
中國附醫,11,4,0,4,否,2026-04-01 08:54:32
成大,51,4,4,4,否,2026-04-01 08:54:32
永康奇美,34,2,0,0,否,2026-04-01 08:54:32
高雄榮總,21,3,0,1,否,2026-04-01 08:54:32
高雄長庚,77,0,0,3,否,2026-04-01 08:54:32
義大醫院,13,2,0,0,否,2026-04-01 08:54:32
高醫,29,1,0,2,否,2026-04-01 08:54:32
花蓮慈濟,27,0,0,0,否,2026-04-01 08:54:32
