醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,74,1,0,2,否,2026-04-26 08:49:28
台大兒醫,0,0,0,0,否,2026-04-26 08:49:28
三總,14,1,0,0,否,2026-04-26 08:49:28
北榮,9,4,0,1,否,2026-04-26 08:49:28
台北國泰,7,1,0,0,否,2026-04-26 08:49:28
台北馬偕,25,6,0,4,否,2026-04-26 08:49:28
馬偕兒醫,-,-,-,-,否,2026-04-26 08:49:28
新光,10,1,0,1,否,2026-04-26 08:49:28
亞東,19,3,13,0,否,2026-04-26 08:49:28
台北慈濟,24,3,0,0,否,2026-04-26 08:49:28
淡水馬偕,4,1,0,2,否,2026-04-26 08:49:28
萬芳,21,4,0,4,否,2026-04-26 08:49:28
部立雙和,3,1,0,0,否,2026-04-26 08:49:28
臺大新竹,7,0,0,0,否,2026-04-26 08:49:28
林口長庚,84,1,0,2,否,2026-04-26 08:49:28
中榮,2,5,0,3,否,2026-04-26 08:49:28
彰基,0,1,0,1,否,2026-04-26 08:49:28
彰基兒醫,-,-,-,-,否,2026-04-26 08:49:28
中國兒醫,-,-,-,-,否,2026-04-26 08:49:28
中山附醫,8,3,0,1,否,2026-04-26 08:49:29
中國附醫,9,3,0,0,否,2026-04-26 08:49:29
成大,37,4,0,3,否,2026-04-26 08:49:29
永康奇美,45,3,0,6,否,2026-04-26 08:49:29
高雄榮總,8,3,0,1,否,2026-04-26 08:49:29
高雄長庚,28,0,0,3,否,2026-04-26 08:49:29
義大醫院,12,4,0,0,否,2026-04-26 08:49:29
高醫,37,1,0,1,否,2026-04-26 08:49:29
花蓮慈濟,38,0,0,0,否,2026-04-26 08:49:29
