醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,122,0,0,3,是,2026-03-03 03:29:44
台大兒醫,0,0,0,0,否,2026-03-03 03:29:44
三總,44,2,0,5,否,2026-03-03 03:29:44
北榮,38,2,0,1,否,2026-03-03 03:29:44
台北國泰,23,1,4,3,否,2026-03-03 03:29:44
台北馬偕,37,4,0,0,否,2026-03-03 03:29:44
馬偕兒醫,-,-,-,-,否,2026-03-03 03:29:45
新光,18,0,0,0,否,2026-03-03 03:29:45
亞東,31,7,9,1,是,2026-03-03 03:29:45
台北慈濟,30,2,0,1,否,2026-03-03 03:29:45
淡水馬偕,20,1,0,3,否,2026-03-03 03:29:45
萬芳,23,3,0,0,否,2026-03-03 03:29:45
部立雙和,21,3,0,0,否,2026-03-03 03:29:45
臺大新竹,25,1,5,0,是,2026-03-03 03:29:45
林口長庚,109,7,4,14,否,2026-03-03 03:29:45
中榮,28,2,0,2,否,2026-03-03 03:29:45
彰基,15,3,0,0,否,2026-03-03 03:29:45
彰基兒醫,-,-,-,-,否,2026-03-03 03:29:45
中國兒醫,-,-,-,-,否,2026-03-03 03:29:45
中山附醫,18,1,0,1,否,2026-03-03 03:29:45
中國附醫,32,7,0,4,否,2026-03-03 03:29:45
成大,73,2,21,5,是,2026-03-03 03:29:45
永康奇美,50,2,0,2,否,2026-03-03 03:29:45
高雄榮總,48,2,0,2,否,2026-03-03 03:29:45
高雄長庚,104,1,0,5,是,2026-03-03 03:29:45
義大醫院,27,4,0,0,否,2026-03-03 03:29:45
高醫,42,3,0,4,否,2026-03-03 03:29:45
花蓮慈濟,26,1,0,0,否,2026-03-03 03:29:45
