醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,109,2,0,4,否,2026-03-05 03:25:09
台大兒醫,0,0,0,0,否,2026-03-05 03:25:09
三總,54,3,0,5,否,2026-03-05 03:25:10
北榮,18,2,0,0,否,2026-03-05 03:25:10
台北國泰,20,1,3,4,否,2026-03-05 03:25:10
台北馬偕,35,1,0,1,否,2026-03-05 03:25:10
馬偕兒醫,-,-,-,-,否,2026-03-05 03:25:10
新光,17,0,0,0,否,2026-03-05 03:25:10
亞東,34,7,25,3,是,2026-03-05 03:25:10
台北慈濟,23,1,0,0,否,2026-03-05 03:25:10
淡水馬偕,12,1,0,3,否,2026-03-05 03:25:10
萬芳,24,2,0,1,否,2026-03-05 03:25:10
部立雙和,22,1,0,0,否,2026-03-05 03:25:10
臺大新竹,30,1,0,0,否,2026-03-05 03:25:10
林口長庚,96,4,15,6,否,2026-03-05 03:25:10
中榮,15,0,0,2,否,2026-03-05 03:25:10
彰基,4,2,0,1,否,2026-03-05 03:25:10
彰基兒醫,-,-,-,-,否,2026-03-05 03:25:10
中國兒醫,-,-,-,-,否,2026-03-05 03:25:10
中山附醫,24,4,0,0,否,2026-03-05 03:25:10
中國附醫,43,10,0,4,否,2026-03-05 03:25:10
成大,70,4,15,2,是,2026-03-05 03:25:10
永康奇美,53,5,0,4,否,2026-03-05 03:25:10
高雄榮總,40,0,0,5,否,2026-03-05 03:25:10
高雄長庚,85,0,0,4,是,2026-03-05 03:25:10
義大醫院,30,2,0,0,否,2026-03-05 03:25:11
高醫,51,4,3,2,是,2026-03-05 03:25:11
花蓮慈濟,27,2,0,0,否,2026-03-05 03:25:11
