醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,92,4,0,3,否,2026-03-19 08:31:04
台大兒醫,0,0,0,0,否,2026-03-19 08:31:04
三總,56,0,0,4,否,2026-03-19 08:31:04
北榮,13,2,0,0,否,2026-03-19 08:31:04
台北國泰,21,0,3,0,否,2026-03-19 08:31:04
台北馬偕,47,2,0,1,否,2026-03-19 08:31:04
馬偕兒醫,-,-,-,-,否,2026-03-19 08:31:04
新光,21,0,0,0,否,2026-03-19 08:31:04
亞東,28,3,18,0,否,2026-03-19 08:31:04
台北慈濟,37,1,0,2,否,2026-03-19 08:31:04
淡水馬偕,18,2,0,3,否,2026-03-19 08:31:04
萬芳,23,4,0,1,否,2026-03-19 08:31:04
部立雙和,31,3,0,0,否,2026-03-19 08:31:04
臺大新竹,13,1,10,0,是,2026-03-19 08:31:04
林口長庚,106,3,18,8,是,2026-03-19 08:31:04
中榮,18,0,0,5,否,2026-03-19 08:31:05
彰基,16,2,0,0,否,2026-03-19 08:31:05
彰基兒醫,-,-,-,-,否,2026-03-19 08:31:05
中國兒醫,-,-,-,-,否,2026-03-19 08:31:05
中山附醫,16,5,0,0,否,2026-03-19 08:31:05
中國附醫,23,3,0,3,否,2026-03-19 08:31:05
成大,60,2,8,3,是,2026-03-19 08:31:05
永康奇美,33,2,0,0,否,2026-03-19 08:31:05
高雄榮總,24,3,0,1,否,2026-03-19 08:31:05
高雄長庚,45,0,0,2,否,2026-03-19 08:31:05
義大醫院,10,2,0,0,否,2026-03-19 08:31:05
高醫,53,2,0,4,否,2026-03-19 08:31:05
花蓮慈濟,53,0,0,0,否,2026-03-19 08:31:05
