醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,93,2,0,2,否,2026-03-11 08:29:34
台大兒醫,0,0,0,0,否,2026-03-11 08:29:34
三總,44,4,0,4,否,2026-03-11 08:29:34
北榮,21,1,0,1,否,2026-03-11 08:29:34
台北國泰,19,0,0,1,否,2026-03-11 08:29:34
台北馬偕,36,4,0,2,否,2026-03-11 08:29:34
馬偕兒醫,-,-,-,-,否,2026-03-11 08:29:34
新光,10,1,0,1,否,2026-03-11 08:29:34
亞東,27,3,18,4,否,2026-03-11 08:29:34
台北慈濟,25,1,0,0,否,2026-03-11 08:29:34
淡水馬偕,10,1,0,2,否,2026-03-11 08:29:34
萬芳,16,5,0,1,否,2026-03-11 08:29:34
部立雙和,15,5,0,0,否,2026-03-11 08:29:34
臺大新竹,22,0,5,0,是,2026-03-11 08:29:34
林口長庚,79,2,0,8,是,2026-03-11 08:29:34
中榮,14,0,0,2,否,2026-03-11 08:29:34
彰基,5,1,0,0,否,2026-03-11 08:29:34
彰基兒醫,-,-,-,-,否,2026-03-11 08:29:34
中國兒醫,-,-,-,-,否,2026-03-11 08:29:35
中山附醫,19,1,0,1,否,2026-03-11 08:29:35
中國附醫,19,9,0,2,否,2026-03-11 08:29:35
成大,47,3,6,2,是,2026-03-11 08:29:35
永康奇美,32,5,0,1,否,2026-03-11 08:29:35
高雄榮總,18,0,0,1,否,2026-03-11 08:29:35
高雄長庚,80,0,0,5,否,2026-03-11 08:29:35
義大醫院,6,2,0,1,否,2026-03-11 08:29:35
高醫,45,3,0,3,否,2026-03-11 08:29:35
花蓮慈濟,20,1,0,0,否,2026-03-11 08:29:35
