醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,89,0,3,0,是,2026-04-20 09:48:18
台大兒醫,0,0,0,0,否,2026-04-20 09:48:18
三總,45,0,0,3,否,2026-04-20 09:48:18
北榮,15,4,0,0,否,2026-04-20 09:48:18
台北國泰,9,0,0,2,否,2026-04-20 09:48:18
台北馬偕,61,4,0,11,否,2026-04-20 09:48:18
馬偕兒醫,-,-,-,-,否,2026-04-20 09:48:18
新光,22,0,0,1,是,2026-04-20 09:48:18
亞東,33,9,20,1,否,2026-04-20 09:48:18
台北慈濟,22,1,0,2,否,2026-04-20 09:48:18
淡水馬偕,13,1,0,3,否,2026-04-20 09:48:18
萬芳,32,2,0,0,否,2026-04-20 09:48:18
部立雙和,58,2,4,0,否,2026-04-20 09:48:18
臺大新竹,12,0,4,0,是,2026-04-20 09:48:18
林口長庚,118,7,14,4,是,2026-04-20 09:48:18
中榮,18,0,0,2,否,2026-04-20 09:48:18
彰基,22,4,0,0,否,2026-04-20 09:48:18
彰基兒醫,-,-,-,-,否,2026-04-20 09:48:19
中國兒醫,-,-,-,-,否,2026-04-20 09:48:19
中山附醫,25,0,0,0,否,2026-04-20 09:48:19
中國附醫,23,3,0,3,否,2026-04-20 09:48:19
成大,28,3,0,2,否,2026-04-20 09:48:19
永康奇美,43,5,0,0,否,2026-04-20 09:48:19
高雄榮總,23,0,0,4,否,2026-04-20 09:48:19
高雄長庚,55,3,0,1,否,2026-04-20 09:48:19
義大醫院,20,0,0,0,否,2026-04-20 09:48:19
高醫,60,0,2,4,否,2026-04-20 09:48:19
花蓮慈濟,53,0,0,0,否,2026-04-20 09:48:19
