醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,78,1,0,0,否,2026-04-22 09:11:30
台大兒醫,0,0,0,0,否,2026-04-22 09:11:30
三總,35,0,0,0,否,2026-04-22 09:11:30
北榮,20,0,0,3,否,2026-04-22 09:11:30
台北國泰,14,0,0,0,否,2026-04-22 09:11:30
台北馬偕,44,5,0,1,否,2026-04-22 09:11:30
馬偕兒醫,-,-,-,-,否,2026-04-22 09:11:30
新光,20,2,0,0,否,2026-04-22 09:11:30
亞東,41,6,12,3,否,2026-04-22 09:11:30
台北慈濟,25,3,0,1,否,2026-04-22 09:11:30
淡水馬偕,18,2,0,2,否,2026-04-22 09:11:30
萬芳,24,2,0,1,否,2026-04-22 09:11:30
部立雙和,45,0,0,0,是,2026-04-22 09:11:30
臺大新竹,13,1,3,0,是,2026-04-22 09:11:30
林口長庚,108,6,5,3,是,2026-04-22 09:11:30
中榮,29,0,0,3,否,2026-04-22 09:11:30
彰基,17,2,0,0,否,2026-04-22 09:11:30
彰基兒醫,-,-,-,-,否,2026-04-22 09:11:30
中國兒醫,-,-,-,-,否,2026-04-22 09:11:31
中山附醫,20,2,0,0,否,2026-04-22 09:11:31
中國附醫,23,3,0,2,否,2026-04-22 09:11:31
成大,39,1,0,2,否,2026-04-22 09:11:31
永康奇美,44,6,0,0,否,2026-04-22 09:11:31
高雄榮總,19,1,0,0,否,2026-04-22 09:11:31
高雄長庚,22,2,0,1,否,2026-04-22 09:11:31
義大醫院,21,3,0,0,否,2026-04-22 09:11:31
高醫,57,4,2,1,否,2026-04-22 09:11:31
花蓮慈濟,32,0,0,0,否,2026-04-22 09:11:31
