醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,65,0,0,3,否,2026-03-31 03:45:48
台大兒醫,0,0,0,0,否,2026-03-31 03:45:48
三總,44,2,0,4,否,2026-03-31 03:45:48
北榮,30,2,0,0,否,2026-03-31 03:45:48
台北國泰,26,0,7,4,是,2026-03-31 03:45:48
台北馬偕,36,2,0,2,否,2026-03-31 03:45:48
馬偕兒醫,-,-,-,-,否,2026-03-31 03:45:48
新光,32,1,0,0,否,2026-03-31 03:45:48
亞東,37,4,23,3,否,2026-03-31 03:45:48
台北慈濟,21,2,0,3,否,2026-03-31 03:45:48
淡水馬偕,22,3,0,1,否,2026-03-31 03:45:48
萬芳,29,2,0,1,否,2026-03-31 03:45:48
部立雙和,29,3,5,1,是,2026-03-31 03:45:48
臺大新竹,14,1,0,0,否,2026-03-31 03:45:49
林口長庚,75,4,0,8,否,2026-03-31 03:45:49
中榮,28,1,0,4,否,2026-03-31 03:45:49
彰基,19,3,0,5,否,2026-03-31 03:45:49
彰基兒醫,-,-,-,-,否,2026-03-31 03:45:49
中國兒醫,-,-,-,-,否,2026-03-31 03:45:49
中山附醫,19,0,0,0,否,2026-03-31 03:45:49
中國附醫,27,3,0,5,否,2026-03-31 03:45:49
成大,62,2,35,0,是,2026-03-31 03:45:49
永康奇美,42,6,0,0,否,2026-03-31 03:45:49
高雄榮總,34,0,0,1,否,2026-03-31 03:45:49
高雄長庚,90,0,0,4,否,2026-03-31 03:45:49
義大醫院,4,0,0,0,否,2026-03-31 03:45:49
高醫,45,4,10,0,否,2026-03-31 03:45:49
花蓮慈濟,44,1,0,0,是,2026-03-31 03:45:49
