醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,66,1,0,1,否,2026-04-25 03:48:14
台大兒醫,0,0,0,0,否,2026-04-25 03:48:15
三總,14,0,0,1,否,2026-04-25 03:48:15
北榮,14,2,0,0,否,2026-04-25 03:48:15
台北國泰,14,1,0,1,否,2026-04-25 03:48:15
台北馬偕,38,5,0,1,否,2026-04-25 03:48:15
馬偕兒醫,-,-,-,-,否,2026-04-25 03:48:15
新光,14,0,0,1,否,2026-04-25 03:48:15
亞東,11,4,23,2,否,2026-04-25 03:48:15
台北慈濟,10,2,0,0,否,2026-04-25 03:48:15
淡水馬偕,10,3,0,2,否,2026-04-25 03:48:15
萬芳,24,2,0,0,否,2026-04-25 03:48:15
部立雙和,5,0,0,0,否,2026-04-25 03:48:15
臺大新竹,10,0,0,0,否,2026-04-25 03:48:15
林口長庚,61,2,0,0,否,2026-04-25 03:48:15
中榮,17,0,0,3,否,2026-04-25 03:48:15
彰基,0,1,0,1,否,2026-04-25 03:48:15
彰基兒醫,-,-,-,-,否,2026-04-25 03:48:15
中國兒醫,-,-,-,-,否,2026-04-25 03:48:15
中山附醫,14,1,0,0,否,2026-04-25 03:48:15
中國附醫,7,3,0,0,否,2026-04-25 03:48:15
成大,46,2,0,5,否,2026-04-25 03:48:15
永康奇美,27,2,0,4,否,2026-04-25 03:48:15
高雄榮總,11,0,0,1,否,2026-04-25 03:48:15
高雄長庚,8,2,0,2,否,2026-04-25 03:48:15
義大醫院,6,0,0,0,否,2026-04-25 03:48:15
高醫,21,4,0,0,否,2026-04-25 03:48:15
花蓮慈濟,32,0,0,1,否,2026-04-25 03:48:15
