醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,106,1,2,3,是,2026-03-04 03:21:40
台大兒醫,0,0,0,0,否,2026-03-04 03:21:40
三總,44,0,0,4,否,2026-03-04 03:21:40
北榮,28,3,0,0,否,2026-03-04 03:21:40
台北國泰,22,0,3,4,否,2026-03-04 03:21:40
台北馬偕,39,4,0,1,否,2026-03-04 03:21:40
馬偕兒醫,-,-,-,-,否,2026-03-04 03:21:40
新光,17,1,0,0,否,2026-03-04 03:21:40
亞東,27,7,20,1,否,2026-03-04 03:21:40
台北慈濟,19,0,0,1,否,2026-03-04 03:21:40
淡水馬偕,14,1,0,1,否,2026-03-04 03:21:40
萬芳,24,3,0,2,否,2026-03-04 03:21:40
部立雙和,18,1,0,0,否,2026-03-04 03:21:40
臺大新竹,35,0,10,0,是,2026-03-04 03:21:40
林口長庚,117,4,24,9,是,2026-03-04 03:21:40
中榮,22,1,0,0,否,2026-03-04 03:21:40
彰基,7,3,0,0,否,2026-03-04 03:21:40
彰基兒醫,-,-,-,-,否,2026-03-04 03:21:40
中國兒醫,-,-,-,-,否,2026-03-04 03:21:40
中山附醫,22,1,0,0,否,2026-03-04 03:21:40
中國附醫,36,10,0,5,否,2026-03-04 03:21:41
成大,71,1,22,2,是,2026-03-04 03:21:41
永康奇美,55,3,0,2,否,2026-03-04 03:21:41
高雄榮總,50,1,0,5,否,2026-03-04 03:21:41
高雄長庚,95,3,0,4,是,2026-03-04 03:21:41
義大醫院,28,1,0,0,否,2026-03-04 03:21:41
高醫,47,2,2,0,否,2026-03-04 03:21:41
花蓮慈濟,21,0,0,0,否,2026-03-04 03:21:41
