醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,106,1,0,1,是,2026-03-07 03:10:15
台大兒醫,0,0,0,0,否,2026-03-07 03:10:15
三總,52,0,0,8,否,2026-03-07 03:10:15
北榮,14,1,0,0,否,2026-03-07 03:10:15
台北國泰,12,3,0,3,否,2026-03-07 03:10:15
台北馬偕,40,1,0,0,否,2026-03-07 03:10:15
馬偕兒醫,-,-,-,-,否,2026-03-07 03:10:15
新光,7,0,0,0,否,2026-03-07 03:10:15
亞東,22,7,11,1,否,2026-03-07 03:10:15
台北慈濟,12,0,0,0,否,2026-03-07 03:10:15
淡水馬偕,8,2,0,0,否,2026-03-07 03:10:15
萬芳,24,3,0,4,否,2026-03-07 03:10:15
部立雙和,7,3,0,0,否,2026-03-07 03:10:15
臺大新竹,22,1,3,2,是,2026-03-07 03:10:15
林口長庚,66,7,0,10,否,2026-03-07 03:10:15
中榮,18,0,0,4,否,2026-03-07 03:10:15
彰基,0,3,0,0,否,2026-03-07 03:10:15
彰基兒醫,-,-,-,-,否,2026-03-07 03:10:15
中國兒醫,-,-,-,-,否,2026-03-07 03:10:15
中山附醫,19,2,0,0,否,2026-03-07 03:10:15
中國附醫,17,9,0,6,否,2026-03-07 03:10:15
成大,54,2,1,2,否,2026-03-07 03:10:15
永康奇美,21,3,0,3,否,2026-03-07 03:10:16
高雄榮總,17,2,0,2,否,2026-03-07 03:10:16
高雄長庚,32,0,0,1,否,2026-03-07 03:10:16
義大醫院,1,2,0,0,否,2026-03-07 03:10:16
高醫,28,2,0,2,否,2026-03-07 03:10:16
花蓮慈濟,27,0,0,0,否,2026-03-07 03:10:16
