醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,59,0,0,0,否,2026-04-29 04:25:05
台大兒醫,0,0,0,0,否,2026-04-29 04:25:05
三總,45,2,0,1,否,2026-04-29 04:25:05
北榮,29,1,0,0,否,2026-04-29 04:25:05
台北國泰,18,2,7,3,是,2026-04-29 04:25:05
台北馬偕,55,3,0,4,否,2026-04-29 04:25:05
馬偕兒醫,-,-,-,-,否,2026-04-29 04:25:05
新光,32,1,0,0,是,2026-04-29 04:25:05
亞東,32,5,25,0,否,2026-04-29 04:25:05
台北慈濟,24,3,0,0,否,2026-04-29 04:25:06
淡水馬偕,18,1,0,1,否,2026-04-29 04:25:06
萬芳,47,3,0,3,否,2026-04-29 04:25:06
部立雙和,26,3,0,2,否,2026-04-29 04:25:06
臺大新竹,23,1,10,0,是,2026-04-29 04:25:06
林口長庚,126,5,30,3,否,2026-04-29 04:25:06
中榮,17,1,0,1,否,2026-04-29 04:25:06
彰基,18,5,0,1,否,2026-04-29 04:25:06
彰基兒醫,-,-,-,-,否,2026-04-29 04:25:06
中國兒醫,-,-,-,-,否,2026-04-29 04:25:06
中山附醫,33,4,0,1,否,2026-04-29 04:25:06
中國附醫,15,5,0,2,否,2026-04-29 04:25:06
成大,56,2,15,2,是,2026-04-29 04:25:06
永康奇美,48,4,1,5,是,2026-04-29 04:25:06
高雄榮總,32,1,0,1,否,2026-04-29 04:25:06
高雄長庚,25,2,0,1,否,2026-04-29 04:25:06
義大醫院,40,3,0,1,否,2026-04-29 04:25:06
高醫,46,3,1,0,否,2026-04-29 04:25:06
花蓮慈濟,40,0,0,3,否,2026-04-29 04:25:06
