醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,97,1,0,1,是,2026-03-26 03:43:55
台大兒醫,0,0,0,0,否,2026-03-26 03:43:55
三總,52,2,0,3,否,2026-03-26 03:43:55
北榮,38,2,0,0,否,2026-03-26 03:43:55
台北國泰,21,0,3,0,否,2026-03-26 03:43:55
台北馬偕,45,1,0,1,否,2026-03-26 03:43:56
馬偕兒醫,-,-,-,-,否,2026-03-26 03:43:56
新光,34,0,0,0,是,2026-03-26 03:43:56
亞東,31,4,15,0,否,2026-03-26 03:43:56
台北慈濟,16,3,0,1,否,2026-03-26 03:43:56
淡水馬偕,20,1,0,5,否,2026-03-26 03:43:56
萬芳,38,3,0,2,否,2026-03-26 03:43:56
部立雙和,27,1,0,0,否,2026-03-26 03:43:56
臺大新竹,19,2,0,0,否,2026-03-26 03:43:56
林口長庚,103,5,0,5,否,2026-03-26 03:43:56
中榮,29,2,0,2,否,2026-03-26 03:43:56
彰基,20,1,0,2,否,2026-03-26 03:43:56
彰基兒醫,-,-,-,-,否,2026-03-26 03:43:56
中國兒醫,-,-,-,-,否,2026-03-26 03:43:56
中山附醫,21,2,0,0,否,2026-03-26 03:43:56
中國附醫,21,4,0,2,否,2026-03-26 03:43:56
成大,76,2,24,6,是,2026-03-26 03:43:56
永康奇美,46,4,0,0,否,2026-03-26 03:43:56
高雄榮總,37,1,0,3,否,2026-03-26 03:43:56
高雄長庚,75,1,0,0,否,2026-03-26 03:43:56
義大醫院,12,5,0,2,否,2026-03-26 03:43:56
高醫,76,5,28,3,是,2026-03-26 03:43:56
花蓮慈濟,30,0,0,0,是,2026-03-26 03:43:56
