醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,81,1,0,1,否,2026-03-24 08:39:44
台大兒醫,0,0,0,0,否,2026-03-24 08:39:44
三總,48,1,0,2,否,2026-03-24 08:39:44
北榮,21,2,0,1,否,2026-03-24 08:39:44
台北國泰,18,2,3,2,否,2026-03-24 08:39:44
台北馬偕,34,3,0,0,否,2026-03-24 08:39:45
馬偕兒醫,-,-,-,-,否,2026-03-24 08:39:45
新光,23,4,0,1,是,2026-03-24 08:39:45
亞東,24,1,14,2,否,2026-03-24 08:39:45
台北慈濟,22,2,0,0,否,2026-03-24 08:39:45
淡水馬偕,18,2,0,4,否,2026-03-24 08:39:45
萬芳,22,1,0,1,否,2026-03-24 08:39:45
部立雙和,27,4,0,0,否,2026-03-24 08:39:45
臺大新竹,12,0,0,0,否,2026-03-24 08:39:45
林口長庚,97,6,0,4,否,2026-03-24 08:39:45
中榮,28,2,0,2,否,2026-03-24 08:39:45
彰基,19,3,0,0,否,2026-03-24 08:39:45
彰基兒醫,-,-,-,-,否,2026-03-24 08:39:45
中國兒醫,-,-,-,-,否,2026-03-24 08:39:45
中山附醫,14,0,0,1,否,2026-03-24 08:39:45
中國附醫,26,5,0,6,否,2026-03-24 08:39:45
成大,54,3,20,6,是,2026-03-24 08:39:45
永康奇美,45,2,0,1,否,2026-03-24 08:39:45
高雄榮總,48,3,0,2,否,2026-03-24 08:39:45
高雄長庚,57,0,0,5,否,2026-03-24 08:39:45
義大醫院,16,2,0,0,否,2026-03-24 08:39:45
高醫,59,0,0,3,是,2026-03-24 08:39:45
花蓮慈濟,42,1,0,1,是,2026-03-24 08:39:45
