醫院簡稱,住院等待人數,看診等待人數,推床等待人數,加護病房等待人數,滿床通報狀態,抓取時間
臺大,69,3,0,2,否,2026-04-23 09:18:16
台大兒醫,0,0,0,0,否,2026-04-23 09:18:16
三總,30,0,0,0,否,2026-04-23 09:18:16
北榮,12,3,0,1,否,2026-04-23 09:18:16
台北國泰,18,1,0,3,否,2026-04-23 09:18:16
台北馬偕,45,3,0,1,否,2026-04-23 09:18:16
馬偕兒醫,-,-,-,-,否,2026-04-23 09:18:16
新光,22,2,0,0,否,2026-04-23 09:18:16
亞東,29,7,14,0,否,2026-04-23 09:18:16
台北慈濟,25,2,0,1,否,2026-04-23 09:18:16
淡水馬偕,11,3,0,4,否,2026-04-23 09:18:16
萬芳,22,4,0,1,否,2026-04-23 09:18:16
部立雙和,47,2,0,1,否,2026-04-23 09:18:16
臺大新竹,12,0,0,0,否,2026-04-23 09:18:16
林口長庚,87,2,13,3,否,2026-04-23 09:18:16
中榮,24,2,0,3,否,2026-04-23 09:18:16
彰基,10,1,0,3,否,2026-04-23 09:18:16
彰基兒醫,-,-,-,-,否,2026-04-23 09:18:16
中國兒醫,-,-,-,-,否,2026-04-23 09:18:16
中山附醫,21,2,0,1,否,2026-04-23 09:18:16
中國附醫,27,4,0,3,否,2026-04-23 09:18:16
成大,39,1,0,1,否,2026-04-23 09:18:16
永康奇美,44,3,0,0,否,2026-04-23 09:18:16
高雄榮總,20,3,0,0,否,2026-04-23 09:18:16
高雄長庚,21,2,0,3,否,2026-04-23 09:18:17
義大醫院,21,0,0,0,否,2026-04-23 09:18:17
高醫,45,2,0,3,否,2026-04-23 09:18:17
花蓮慈濟,24,0,0,0,否,2026-04-23 09:18:17
